group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Difference 8/2,native,,,,1041335.0,ns,6386
Difference 8/2,native,,,,2204994.0,ns,12772
Difference 8/2,native,,,,3006428.0,ns,19158
Difference 8/2,native,,,,3957657.0,ns,25544
Difference 8/2,native,,,,4944313.0,ns,31930
Difference 8/2,native,,,,6559849.0,ns,38316
Difference 8/2,native,,,,7080317.0,ns,44702
Difference 8/2,native,,,,8006675.0,ns,51088
Difference 8/2,native,,,,9229925.0,ns,57474
Difference 8/2,native,,,,10081928.0,ns,63860
Difference 8/2,native,,,,11121892.0,ns,70246
Difference 8/2,native,,,,12046652.0,ns,76632
Difference 8/2,native,,,,13095197.0,ns,83018
Difference 8/2,native,,,,14253231.0,ns,89404
Difference 8/2,native,,,,14918137.0,ns,95790
Difference 8/2,native,,,,16129024.0,ns,102176
Difference 8/2,native,,,,16988105.0,ns,108562
Difference 8/2,native,,,,18302535.0,ns,114948
Difference 8/2,native,,,,19013052.0,ns,121334
Difference 8/2,native,,,,21438578.0,ns,127720
Difference 8/2,native,,,,22199965.0,ns,134106
Difference 8/2,native,,,,22844835.0,ns,140492
Difference 8/2,native,,,,23439968.0,ns,146878
Difference 8/2,native,,,,24620691.0,ns,153264
Difference 8/2,native,,,,25188597.0,ns,159650
Difference 8/2,native,,,,26436619.0,ns,166036
Difference 8/2,native,,,,27411771.0,ns,172422
Difference 8/2,native,,,,28408165.0,ns,178808
Difference 8/2,native,,,,28984300.0,ns,185194
Difference 8/2,native,,,,30123640.0,ns,191580
Difference 8/2,native,,,,31484941.0,ns,197966
Difference 8/2,native,,,,32112569.0,ns,204352
Difference 8/2,native,,,,33002513.0,ns,210738
Difference 8/2,native,,,,35562282.0,ns,217124
Difference 8/2,native,,,,36101343.0,ns,223510
Difference 8/2,native,,,,36121792.0,ns,229896
Difference 8/2,native,,,,37427430.0,ns,236282
Difference 8/2,native,,,,38039427.0,ns,242668
Difference 8/2,native,,,,39185052.0,ns,249054
Difference 8/2,native,,,,40336233.0,ns,255440
Difference 8/2,native,,,,41591830.0,ns,261826
Difference 8/2,native,,,,42944565.0,ns,268212
Difference 8/2,native,,,,43376741.0,ns,274598
Difference 8/2,native,,,,44851803.0,ns,280984
Difference 8/2,native,,,,45242035.0,ns,287370
Difference 8/2,native,,,,46329980.0,ns,293756
Difference 8/2,native,,,,47379251.0,ns,300142
Difference 8/2,native,,,,48197258.0,ns,306528
Difference 8/2,native,,,,49417731.0,ns,312914
Difference 8/2,native,,,,50469001.0,ns,319300
Difference 8/2,native,,,,51456150.0,ns,325686
Difference 8/2,native,,,,52703342.0,ns,332072
Difference 8/2,native,,,,53569917.0,ns,338458
Difference 8/2,native,,,,54496400.0,ns,344844
Difference 8/2,native,,,,55057842.0,ns,351230
Difference 8/2,native,,,,57087302.0,ns,357616
Difference 8/2,native,,,,57355432.0,ns,364002
Difference 8/2,native,,,,58559741.0,ns,370388
Difference 8/2,native,,,,61237372.0,ns,376774
Difference 8/2,native,,,,61876718.0,ns,383160
Difference 8/2,native,,,,61636404.0,ns,389546
Difference 8/2,native,,,,62691536.0,ns,395932
Difference 8/2,native,,,,63884775.0,ns,402318
Difference 8/2,native,,,,64669497.0,ns,408704
Difference 8/2,native,,,,65174988.0,ns,415090
Difference 8/2,native,,,,66601278.0,ns,421476
Difference 8/2,native,,,,67468978.0,ns,427862
Difference 8/2,native,,,,68181964.0,ns,434248
Difference 8/2,native,,,,69288435.0,ns,440634
Difference 8/2,native,,,,70521874.0,ns,447020
Difference 8/2,native,,,,71508124.0,ns,453406
Difference 8/2,native,,,,74692189.0,ns,459792
Difference 8/2,native,,,,73693000.0,ns,466178
Difference 8/2,native,,,,74649008.0,ns,472564
Difference 8/2,native,,,,75339694.0,ns,478950
Difference 8/2,native,,,,76524298.0,ns,485336
Difference 8/2,native,,,,77740028.0,ns,491722
Difference 8/2,native,,,,79001323.0,ns,498108
Difference 8/2,native,,,,79618239.0,ns,504494
Difference 8/2,native,,,,80616700.0,ns,510880
Difference 8/2,native,,,,82828444.0,ns,517266
Difference 8/2,native,,,,83937397.0,ns,523652
Difference 8/2,native,,,,83557788.0,ns,530038
Difference 8/2,native,,,,85397012.0,ns,536424
Difference 8/2,native,,,,85459560.0,ns,542810
Difference 8/2,native,,,,87165601.0,ns,549196
Difference 8/2,native,,,,90756141.0,ns,555582
Difference 8/2,native,,,,91880252.0,ns,561968
Difference 8/2,native,,,,93262987.0,ns,568354
Difference 8/2,native,,,,93790154.0,ns,574740
Difference 8/2,native,,,,96089612.0,ns,581126
Difference 8/2,native,,,,96186780.0,ns,587512
Difference 8/2,native,,,,97093253.0,ns,593898
Difference 8/2,native,,,,97524805.0,ns,600284
Difference 8/2,native,,,,98759901.0,ns,606670
Difference 8/2,native,,,,100431079.0,ns,613056
Difference 8/2,native,,,,101481214.0,ns,619442
Difference 8/2,native,,,,100825916.0,ns,625828
Difference 8/2,native,,,,101234252.0,ns,632214
Difference 8/2,native,,,,101988571.0,ns,638600
