group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Difference 8/2,oso,,,,996644.0,ns,6423
Difference 8/2,oso,,,,1885134.0,ns,12846
Difference 8/2,oso,,,,2904060.0,ns,19269
Difference 8/2,oso,,,,3737053.0,ns,25692
Difference 8/2,oso,,,,5659654.0,ns,32115
Difference 8/2,oso,,,,6066434.0,ns,38538
Difference 8/2,oso,,,,6965107.0,ns,44961
Difference 8/2,oso,,,,7953452.0,ns,51384
Difference 8/2,oso,,,,8929901.0,ns,57807
Difference 8/2,oso,,,,9921530.0,ns,64230
Difference 8/2,oso,,,,10722639.0,ns,70653
Difference 8/2,oso,,,,11368368.0,ns,77076
Difference 8/2,oso,,,,12505337.0,ns,83499
Difference 8/2,oso,,,,13477364.0,ns,89922
Difference 8/2,oso,,,,14063805.0,ns,96345
Difference 8/2,oso,,,,15081776.0,ns,102768
Difference 8/2,oso,,,,16270821.0,ns,109191
Difference 8/2,oso,,,,17307768.0,ns,115614
Difference 8/2,oso,,,,18439105.0,ns,122037
Difference 8/2,oso,,,,18955208.0,ns,128460
Difference 8/2,oso,,,,20041179.0,ns,134883
Difference 8/2,oso,,,,21553498.0,ns,141306
Difference 8/2,oso,,,,22481624.0,ns,147729
Difference 8/2,oso,,,,23211824.0,ns,154152
Difference 8/2,oso,,,,25023297.0,ns,160575
Difference 8/2,oso,,,,24617309.0,ns,166998
Difference 8/2,oso,,,,25637823.0,ns,173421
Difference 8/2,oso,,,,27354965.0,ns,179844
Difference 8/2,oso,,,,28254412.0,ns,186267
Difference 8/2,oso,,,,28399470.0,ns,192690
Difference 8/2,oso,,,,29589129.0,ns,199113
Difference 8/2,oso,,,,30627652.0,ns,205536
Difference 8/2,oso,,,,32179801.0,ns,211959
Difference 8/2,oso,,,,32025699.0,ns,218382
Difference 8/2,oso,,,,33803438.0,ns,224805
Difference 8/2,oso,,,,34207730.0,ns,231228
Difference 8/2,oso,,,,35155474.0,ns,237651
Difference 8/2,oso,,,,36737942.0,ns,244074
Difference 8/2,oso,,,,37185815.0,ns,250497
Difference 8/2,oso,,,,38222217.0,ns,256920
Difference 8/2,oso,,,,38889821.0,ns,263343
Difference 8/2,oso,,,,39896572.0,ns,269766
Difference 8/2,oso,,,,41992582.0,ns,276189
Difference 8/2,oso,,,,42119723.0,ns,282612
Difference 8/2,oso,,,,43778404.0,ns,289035
Difference 8/2,oso,,,,44608719.0,ns,295458
Difference 8/2,oso,,,,44822817.0,ns,301881
Difference 8/2,oso,,,,45745221.0,ns,308304
Difference 8/2,oso,,,,46565951.0,ns,314727
Difference 8/2,oso,,,,47999212.0,ns,321150
Difference 8/2,oso,,,,48380034.0,ns,327573
Difference 8/2,oso,,,,49978125.0,ns,333996
Difference 8/2,oso,,,,50227539.0,ns,340419
Difference 8/2,oso,,,,52941860.0,ns,346842
Difference 8/2,oso,,,,52212578.0,ns,353265
Difference 8/2,oso,,,,53817177.0,ns,359688
Difference 8/2,oso,,,,55457231.0,ns,366111
Difference 8/2,oso,,,,56189997.0,ns,372534
Difference 8/2,oso,,,,56260315.0,ns,378957
Difference 8/2,oso,,,,57193077.0,ns,385380
Difference 8/2,oso,,,,58176167.0,ns,391803
Difference 8/2,oso,,,,60264527.0,ns,398226
Difference 8/2,oso,,,,61187663.0,ns,404649
Difference 8/2,oso,,,,61889109.0,ns,411072
Difference 8/2,oso,,,,62696117.0,ns,417495
Difference 8/2,oso,,,,62998024.0,ns,423918
Difference 8/2,oso,,,,64025523.0,ns,430341
Difference 8/2,oso,,,,66429196.0,ns,436764
Difference 8/2,oso,,,,68494176.0,ns,443187
Difference 8/2,oso,,,,69489182.0,ns,449610
Difference 8/2,oso,,,,70831836.0,ns,456033
Difference 8/2,oso,,,,71371066.0,ns,462456
Difference 8/2,oso,,,,71824985.0,ns,468879
Difference 8/2,oso,,,,71989132.0,ns,475302
Difference 8/2,oso,,,,71465031.0,ns,481725
Difference 8/2,oso,,,,72357355.0,ns,488148
Difference 8/2,oso,,,,74052744.0,ns,494571
Difference 8/2,oso,,,,74663273.0,ns,500994
Difference 8/2,oso,,,,76916191.0,ns,507417
Difference 8/2,oso,,,,76367580.0,ns,513840
Difference 8/2,oso,,,,79142900.0,ns,520263
Difference 8/2,oso,,,,77621293.0,ns,526686
Difference 8/2,oso,,,,79572970.0,ns,533109
Difference 8/2,oso,,,,81515336.0,ns,539532
Difference 8/2,oso,,,,82244481.0,ns,545955
Difference 8/2,oso,,,,83245315.0,ns,552378
Difference 8/2,oso,,,,85430376.0,ns,558801
Difference 8/2,oso,,,,84069279.0,ns,565224
Difference 8/2,oso,,,,86794990.0,ns,571647
Difference 8/2,oso,,,,87263638.0,ns,578070
Difference 8/2,oso,,,,88186308.0,ns,584493
Difference 8/2,oso,,,,87734081.0,ns,590916
Difference 8/2,oso,,,,88488165.0,ns,597339
Difference 8/2,oso,,,,89538545.0,ns,603762
Difference 8/2,oso,,,,92245289.0,ns,610185
Difference 8/2,oso,,,,91971726.0,ns,616608
Difference 8/2,oso,,,,93101064.0,ns,623031
Difference 8/2,oso,,,,93352722.0,ns,629454
Difference 8/2,oso,,,,96652389.0,ns,635877
Difference 8/2,oso,,,,97727252.0,ns,642300
