group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Difference 8/2,oso,,,,1204172.0,ns,6771
Difference 8/2,oso,,,,2010876.0,ns,13542
Difference 8/2,oso,,,,3062494.0,ns,20313
Difference 8/2,oso,,,,4020365.0,ns,27084
Difference 8/2,oso,,,,5425598.0,ns,33855
Difference 8/2,oso,,,,6241704.0,ns,40626
Difference 8/2,oso,,,,7249037.0,ns,47397
Difference 8/2,oso,,,,8136733.0,ns,54168
Difference 8/2,oso,,,,9369932.0,ns,60939
Difference 8/2,oso,,,,10237857.0,ns,67710
Difference 8/2,oso,,,,11264713.0,ns,74481
Difference 8/2,oso,,,,12306224.0,ns,81252
Difference 8/2,oso,,,,13651951.0,ns,88023
Difference 8/2,oso,,,,14326125.0,ns,94794
Difference 8/2,oso,,,,15479969.0,ns,101565
Difference 8/2,oso,,,,16246619.0,ns,108336
Difference 8/2,oso,,,,17152859.0,ns,115107
Difference 8/2,oso,,,,18308717.0,ns,121878
Difference 8/2,oso,,,,19611949.0,ns,128649
Difference 8/2,oso,,,,22882069.0,ns,135420
Difference 8/2,oso,,,,21654668.0,ns,142191
Difference 8/2,oso,,,,22653964.0,ns,148962
Difference 8/2,oso,,,,23093990.0,ns,155733
Difference 8/2,oso,,,,24774432.0,ns,162504
Difference 8/2,oso,,,,25360088.0,ns,169275
Difference 8/2,oso,,,,26533541.0,ns,176046
Difference 8/2,oso,,,,27241277.0,ns,182817
Difference 8/2,oso,,,,28736462.0,ns,189588
Difference 8/2,oso,,,,29333631.0,ns,196359
Difference 8/2,oso,,,,30409247.0,ns,203130
Difference 8/2,oso,,,,31877898.0,ns,209901
Difference 8/2,oso,,,,32467129.0,ns,216672
Difference 8/2,oso,,,,33621088.0,ns,223443
Difference 8/2,oso,,,,35631670.0,ns,230214
Difference 8/2,oso,,,,35624102.0,ns,236985
Difference 8/2,oso,,,,36530129.0,ns,243756
Difference 8/2,oso,,,,38013638.0,ns,250527
Difference 8/2,oso,,,,39167114.0,ns,257298
Difference 8/2,oso,,,,40129231.0,ns,264069
Difference 8/2,oso,,,,40532786.0,ns,270840
Difference 8/2,oso,,,,41530550.0,ns,277611
Difference 8/2,oso,,,,42937404.0,ns,284382
Difference 8/2,oso,,,,43947270.0,ns,291153
Difference 8/2,oso,,,,45016743.0,ns,297924
Difference 8/2,oso,,,,45959093.0,ns,304695
Difference 8/2,oso,,,,46989864.0,ns,311466
Difference 8/2,oso,,,,47684787.0,ns,318237
Difference 8/2,oso,,,,48869068.0,ns,325008
Difference 8/2,oso,,,,49620184.0,ns,331779
Difference 8/2,oso,,,,50901653.0,ns,338550
Difference 8/2,oso,,,,51729586.0,ns,345321
Difference 8/2,oso,,,,52884648.0,ns,352092
Difference 8/2,oso,,,,53747462.0,ns,358863
Difference 8/2,oso,,,,55067038.0,ns,365634
Difference 8/2,oso,,,,55805420.0,ns,372405
Difference 8/2,oso,,,,58553206.0,ns,379176
Difference 8/2,oso,,,,57798385.0,ns,385947
Difference 8/2,oso,,,,59523790.0,ns,392718
Difference 8/2,oso,,,,61774825.0,ns,399489
Difference 8/2,oso,,,,60920202.0,ns,406260
Difference 8/2,oso,,,,62094567.0,ns,413031
Difference 8/2,oso,,,,63478591.0,ns,419802
Difference 8/2,oso,,,,65293348.0,ns,426573
Difference 8/2,oso,,,,65433611.0,ns,433344
Difference 8/2,oso,,,,65893244.0,ns,440115
Difference 8/2,oso,,,,68591008.0,ns,446886
Difference 8/2,oso,,,,68031620.0,ns,453657
Difference 8/2,oso,,,,69671613.0,ns,460428
Difference 8/2,oso,,,,69713816.0,ns,467199
Difference 8/2,oso,,,,70983694.0,ns,473970
Difference 8/2,oso,,,,73121224.0,ns,480741
Difference 8/2,oso,,,,73208192.0,ns,487512
Difference 8/2,oso,,,,74502554.0,ns,494283
Difference 8/2,oso,,,,77312005.0,ns,501054
Difference 8/2,oso,,,,79745073.0,ns,507825
Difference 8/2,oso,,,,87485790.0,ns,514596
Difference 8/2,oso,,,,80940971.0,ns,521367
Difference 8/2,oso,,,,81229883.0,ns,528138
Difference 8/2,oso,,,,81423239.0,ns,534909
Difference 8/2,oso,,,,81374577.0,ns,541680
Difference 8/2,oso,,,,85797723.0,ns,548451
Difference 8/2,oso,,,,85503857.0,ns,555222
Difference 8/2,oso,,,,86266133.0,ns,561993
Difference 8/2,oso,,,,85825634.0,ns,568764
Difference 8/2,oso,,,,86790190.0,ns,575535
Difference 8/2,oso,,,,87466998.0,ns,582306
Difference 8/2,oso,,,,88401612.0,ns,589077
Difference 8/2,oso,,,,90796817.0,ns,595848
Difference 8/2,oso,,,,91294805.0,ns,602619
Difference 8/2,oso,,,,95071449.0,ns,609390
Difference 8/2,oso,,,,98735568.0,ns,616161
Difference 8/2,oso,,,,98113945.0,ns,622932
Difference 8/2,oso,,,,99131109.0,ns,629703
Difference 8/2,oso,,,,100245584.0,ns,636474
Difference 8/2,oso,,,,99466087.0,ns,643245
Difference 8/2,oso,,,,101182760.0,ns,650016
Difference 8/2,oso,,,,100670384.0,ns,656787
Difference 8/2,oso,,,,102927082.0,ns,663558
Difference 8/2,oso,,,,100688477.0,ns,670329
Difference 8/2,oso,,,,101955904.0,ns,677100
