group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Expression 8/2/4,native,,,,1003465.0,ns,2390
Expression 8/2/4,native,,,,1991464.0,ns,4780
Expression 8/2/4,native,,,,3317927.0,ns,7170
Expression 8/2/4,native,,,,4117499.0,ns,9560
Expression 8/2/4,native,,,,4948058.0,ns,11950
Expression 8/2/4,native,,,,6170965.0,ns,14340
Expression 8/2/4,native,,,,7167563.0,ns,16730
Expression 8/2/4,native,,,,8386338.0,ns,19120
Expression 8/2/4,native,,,,9160383.0,ns,21510
Expression 8/2/4,native,,,,10145800.0,ns,23900
Expression 8/2/4,native,,,,11143722.0,ns,26290
Expression 8/2/4,native,,,,12206043.0,ns,28680
Expression 8/2/4,native,,,,13145049.0,ns,31070
Expression 8/2/4,native,,,,15111656.0,ns,33460
Expression 8/2/4,native,,,,15272351.0,ns,35850
Expression 8/2/4,native,,,,16645345.0,ns,38240
Expression 8/2/4,native,,,,17130501.0,ns,40630
Expression 8/2/4,native,,,,18184565.0,ns,43020
Expression 8/2/4,native,,,,19180580.0,ns,45410
Expression 8/2/4,native,,,,20388030.0,ns,47800
Expression 8/2/4,native,,,,21511627.0,ns,50190
Expression 8/2/4,native,,,,22293846.0,ns,52580
Expression 8/2/4,native,,,,23405306.0,ns,54970
Expression 8/2/4,native,,,,24454165.0,ns,57360
Expression 8/2/4,native,,,,25445163.0,ns,59750
Expression 8/2/4,native,,,,26209708.0,ns,62140
Expression 8/2/4,native,,,,27999006.0,ns,64530
Expression 8/2/4,native,,,,29263678.0,ns,66920
Expression 8/2/4,native,,,,30503703.0,ns,69310
Expression 8/2/4,native,,,,30216129.0,ns,71700
Expression 8/2/4,native,,,,32623657.0,ns,74090
Expression 8/2/4,native,,,,33198855.0,ns,76480
Expression 8/2/4,native,,,,33496785.0,ns,78870
Expression 8/2/4,native,,,,33778798.0,ns,81260
Expression 8/2/4,native,,,,34897995.0,ns,83650
Expression 8/2/4,native,,,,35345558.0,ns,86040
Expression 8/2/4,native,,,,36982680.0,ns,88430
Expression 8/2/4,native,,,,37628209.0,ns,90820
Expression 8/2/4,native,,,,38281148.0,ns,93210
Expression 8/2/4,native,,,,40103887.0,ns,95600
Expression 8/2/4,native,,,,41826580.0,ns,97990
Expression 8/2/4,native,,,,42226765.0,ns,100380
Expression 8/2/4,native,,,,42463562.0,ns,102770
Expression 8/2/4,native,,,,44024733.0,ns,105160
Expression 8/2/4,native,,,,46616502.0,ns,107550
Expression 8/2/4,native,,,,45433292.0,ns,109940
Expression 8/2/4,native,,,,47331675.0,ns,112330
Expression 8/2/4,native,,,,47178787.0,ns,114720
Expression 8/2/4,native,,,,48833585.0,ns,117110
Expression 8/2/4,native,,,,49717016.0,ns,119500
Expression 8/2/4,native,,,,50386248.0,ns,121890
Expression 8/2/4,native,,,,51164860.0,ns,124280
Expression 8/2/4,native,,,,52338606.0,ns,126670
Expression 8/2/4,native,,,,53332066.0,ns,129060
Expression 8/2/4,native,,,,56605386.0,ns,131450
Expression 8/2/4,native,,,,55657722.0,ns,133840
Expression 8/2/4,native,,,,55927285.0,ns,136230
Expression 8/2/4,native,,,,57507251.0,ns,138620
Expression 8/2/4,native,,,,58311164.0,ns,141010
Expression 8/2/4,native,,,,59215762.0,ns,143400
Expression 8/2/4,native,,,,60050290.0,ns,145790
Expression 8/2/4,native,,,,62483862.0,ns,148180
Expression 8/2/4,native,,,,63656578.0,ns,150570
Expression 8/2/4,native,,,,64424930.0,ns,152960
Expression 8/2/4,native,,,,65631129.0,ns,155350
Expression 8/2/4,native,,,,65186352.0,ns,157740
Expression 8/2/4,native,,,,66141875.0,ns,160130
Expression 8/2/4,native,,,,66903364.0,ns,162520
Expression 8/2/4,native,,,,68685862.0,ns,164910
Expression 8/2/4,native,,,,68875966.0,ns,167300
Expression 8/2/4,native,,,,71838071.0,ns,169690
Expression 8/2/4,native,,,,71191518.0,ns,172080
Expression 8/2/4,native,,,,71797950.0,ns,174470
Expression 8/2/4,native,,,,73288253.0,ns,176860
Expression 8/2/4,native,,,,74810606.0,ns,179250
Expression 8/2/4,native,,,,75128050.0,ns,181640
Expression 8/2/4,native,,,,76738058.0,ns,184030
Expression 8/2/4,native,,,,78264944.0,ns,186420
Expression 8/2/4,native,,,,79567099.0,ns,188810
Expression 8/2/4,native,,,,79152940.0,ns,191200
Expression 8/2/4,native,,,,79924974.0,ns,193590
Expression 8/2/4,native,,,,80720505.0,ns,195980
Expression 8/2/4,native,,,,84097229.0,ns,198370
Expression 8/2/4,native,,,,88215707.0,ns,200760
Expression 8/2/4,native,,,,86863047.0,ns,203150
Expression 8/2/4,native,,,,87821383.0,ns,205540
Expression 8/2/4,native,,,,89283897.0,ns,207930
Expression 8/2/4,native,,,,87884400.0,ns,210320
Expression 8/2/4,native,,,,90042358.0,ns,212710
Expression 8/2/4,native,,,,89816501.0,ns,215100
Expression 8/2/4,native,,,,90912491.0,ns,217490
Expression 8/2/4,native,,,,91260831.0,ns,219880
Expression 8/2/4,native,,,,93857726.0,ns,222270
Expression 8/2/4,native,,,,96832826.0,ns,224660
Expression 8/2/4,native,,,,104874082.0,ns,227050
Expression 8/2/4,native,,,,99344320.0,ns,229440
Expression 8/2/4,native,,,,101679845.0,ns,231830
Expression 8/2/4,native,,,,99252640.0,ns,234220
Expression 8/2/4,native,,,,101189045.0,ns,236610
Expression 8/2/4,native,,,,101962150.0,ns,239000
