group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Expression 8/2/4,native,,,,962402.0,ns,2380
Expression 8/2/4,native,,,,1808531.0,ns,4760
Expression 8/2/4,native,,,,2711516.0,ns,7140
Expression 8/2/4,native,,,,4260278.0,ns,9520
Expression 8/2/4,native,,,,4799704.0,ns,11900
Expression 8/2/4,native,,,,5718778.0,ns,14280
Expression 8/2/4,native,,,,6573156.0,ns,16660
Expression 8/2/4,native,,,,7372524.0,ns,19040
Expression 8/2/4,native,,,,8301666.0,ns,21420
Expression 8/2/4,native,,,,9655211.0,ns,23800
Expression 8/2/4,native,,,,11095722.0,ns,26180
Expression 8/2/4,native,,,,11940719.0,ns,28560
Expression 8/2/4,native,,,,13033432.0,ns,30940
Expression 8/2/4,native,,,,13526105.0,ns,33320
Expression 8/2/4,native,,,,14555510.0,ns,35700
Expression 8/2/4,native,,,,15291440.0,ns,38080
Expression 8/2/4,native,,,,16233565.0,ns,40460
Expression 8/2/4,native,,,,16969665.0,ns,42840
Expression 8/2/4,native,,,,18215450.0,ns,45220
Expression 8/2/4,native,,,,21437911.0,ns,47600
Expression 8/2/4,native,,,,20367503.0,ns,49980
Expression 8/2/4,native,,,,21410567.0,ns,52360
Expression 8/2/4,native,,,,22611781.0,ns,54740
Expression 8/2/4,native,,,,22749913.0,ns,57120
Expression 8/2/4,native,,,,24068963.0,ns,59500
Expression 8/2/4,native,,,,24785883.0,ns,61880
Expression 8/2/4,native,,,,26977102.0,ns,64260
Expression 8/2/4,native,,,,26991761.0,ns,66640
Expression 8/2/4,native,,,,28137856.0,ns,69020
Expression 8/2/4,native,,,,29040220.0,ns,71400
Expression 8/2/4,native,,,,29554862.0,ns,73780
Expression 8/2/4,native,,,,31717391.0,ns,76160
Expression 8/2/4,native,,,,32150123.0,ns,78540
Expression 8/2/4,native,,,,33152000.0,ns,80920
Expression 8/2/4,native,,,,33826447.0,ns,83300
Expression 8/2/4,native,,,,35217417.0,ns,85680
Expression 8/2/4,native,,,,36549870.0,ns,88060
Expression 8/2/4,native,,,,36635967.0,ns,90440
Expression 8/2/4,native,,,,37902343.0,ns,92820
Expression 8/2/4,native,,,,38036352.0,ns,95200
Expression 8/2/4,native,,,,39308074.0,ns,97580
Expression 8/2/4,native,,,,40363635.0,ns,99960
Expression 8/2/4,native,,,,40435506.0,ns,102340
Expression 8/2/4,native,,,,42332893.0,ns,104720
Expression 8/2/4,native,,,,41970927.0,ns,107100
Expression 8/2/4,native,,,,43073073.0,ns,109480
Expression 8/2/4,native,,,,43637514.0,ns,111860
Expression 8/2/4,native,,,,46546251.0,ns,114240
Expression 8/2/4,native,,,,45407933.0,ns,116620
Expression 8/2/4,native,,,,49178062.0,ns,119000
Expression 8/2/4,native,,,,49003435.0,ns,121380
Expression 8/2/4,native,,,,49656012.0,ns,123760
Expression 8/2/4,native,,,,50100868.0,ns,126140
Expression 8/2/4,native,,,,53078969.0,ns,128520
Expression 8/2/4,native,,,,52500854.0,ns,130900
Expression 8/2/4,native,,,,54168349.0,ns,133280
Expression 8/2/4,native,,,,54756444.0,ns,135660
Expression 8/2/4,native,,,,55557168.0,ns,138040
Expression 8/2/4,native,,,,56109288.0,ns,140420
Expression 8/2/4,native,,,,57419885.0,ns,142800
Expression 8/2/4,native,,,,58101187.0,ns,145180
Expression 8/2/4,native,,,,57588249.0,ns,147560
Expression 8/2/4,native,,,,59216518.0,ns,149940
Expression 8/2/4,native,,,,59622022.0,ns,152320
Expression 8/2/4,native,,,,60422380.0,ns,154700
Expression 8/2/4,native,,,,61745410.0,ns,157080
Expression 8/2/4,native,,,,61480542.0,ns,159460
Expression 8/2/4,native,,,,63830422.0,ns,161840
Expression 8/2/4,native,,,,64077335.0,ns,164220
Expression 8/2/4,native,,,,64756117.0,ns,166600
Expression 8/2/4,native,,,,67206585.0,ns,168980
Expression 8/2/4,native,,,,66543270.0,ns,171360
Expression 8/2/4,native,,,,68969627.0,ns,173740
Expression 8/2/4,native,,,,68937522.0,ns,176120
Expression 8/2/4,native,,,,71285987.0,ns,178500
Expression 8/2/4,native,,,,70773343.0,ns,180880
Expression 8/2/4,native,,,,71540012.0,ns,183260
Expression 8/2/4,native,,,,73111965.0,ns,185640
Expression 8/2/4,native,,,,74796329.0,ns,188020
Expression 8/2/4,native,,,,75749995.0,ns,190400
Expression 8/2/4,native,,,,77114829.0,ns,192780
Expression 8/2/4,native,,,,77820078.0,ns,195160
Expression 8/2/4,native,,,,78089176.0,ns,197540
Expression 8/2/4,native,,,,77602880.0,ns,199920
Expression 8/2/4,native,,,,79661798.0,ns,202300
Expression 8/2/4,native,,,,80433819.0,ns,204680
Expression 8/2/4,native,,,,82161989.0,ns,207060
Expression 8/2/4,native,,,,84793807.0,ns,209440
Expression 8/2/4,native,,,,93209862.0,ns,211820
Expression 8/2/4,native,,,,86394291.0,ns,214200
Expression 8/2/4,native,,,,89266739.0,ns,216580
Expression 8/2/4,native,,,,87352388.0,ns,218960
Expression 8/2/4,native,,,,86299083.0,ns,221340
Expression 8/2/4,native,,,,88469263.0,ns,223720
Expression 8/2/4,native,,,,91956776.0,ns,226100
Expression 8/2/4,native,,,,92419300.0,ns,228480
Expression 8/2/4,native,,,,91154792.0,ns,230860
Expression 8/2/4,native,,,,92468582.0,ns,233240
Expression 8/2/4,native,,,,91854319.0,ns,235620
Expression 8/2/4,native,,,,93225972.0,ns,238000
