group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Expression 8/2/4,oso,,,,1143233.0,ns,4990
Expression 8/2/4,oso,,,,1987442.0,ns,9980
Expression 8/2/4,oso,,,,3165480.0,ns,14970
Expression 8/2/4,oso,,,,3946894.0,ns,19960
Expression 8/2/4,oso,,,,5093633.0,ns,24950
Expression 8/2/4,oso,,,,6508292.0,ns,29940
Expression 8/2/4,oso,,,,6902365.0,ns,34930
Expression 8/2/4,oso,,,,7948552.0,ns,39920
Expression 8/2/4,oso,,,,9155829.0,ns,44910
Expression 8/2/4,oso,,,,10196133.0,ns,49900
Expression 8/2/4,oso,,,,10919968.0,ns,54890
Expression 8/2/4,oso,,,,11980569.0,ns,59880
Expression 8/2/4,oso,,,,12989782.0,ns,64870
Expression 8/2/4,oso,,,,14073282.0,ns,69860
Expression 8/2/4,oso,,,,15031527.0,ns,74850
Expression 8/2/4,oso,,,,15656450.0,ns,79840
Expression 8/2/4,oso,,,,16629774.0,ns,84830
Expression 8/2/4,oso,,,,18982697.0,ns,89820
Expression 8/2/4,oso,,,,18919614.0,ns,94810
Expression 8/2/4,oso,,,,19587584.0,ns,99800
Expression 8/2/4,oso,,,,20545484.0,ns,104790
Expression 8/2/4,oso,,,,21443924.0,ns,109780
Expression 8/2/4,oso,,,,23214686.0,ns,114770
Expression 8/2/4,oso,,,,23604430.0,ns,119760
Expression 8/2/4,oso,,,,24405401.0,ns,124750
Expression 8/2/4,oso,,,,25400151.0,ns,129740
Expression 8/2/4,oso,,,,26687872.0,ns,134730
Expression 8/2/4,oso,,,,27486156.0,ns,139720
Expression 8/2/4,oso,,,,28452430.0,ns,144710
Expression 8/2/4,oso,,,,29777653.0,ns,149700
Expression 8/2/4,oso,,,,30311514.0,ns,154690
Expression 8/2/4,oso,,,,31635156.0,ns,159680
Expression 8/2/4,oso,,,,33605848.0,ns,164670
Expression 8/2/4,oso,,,,33233878.0,ns,169660
Expression 8/2/4,oso,,,,34526480.0,ns,174650
Expression 8/2/4,oso,,,,35666934.0,ns,179640
Expression 8/2/4,oso,,,,37180670.0,ns,184630
Expression 8/2/4,oso,,,,37930243.0,ns,189620
Expression 8/2/4,oso,,,,39342963.0,ns,194610
Expression 8/2/4,oso,,,,40012771.0,ns,199600
Expression 8/2/4,oso,,,,41027009.0,ns,204590
Expression 8/2/4,oso,,,,42448492.0,ns,209580
Expression 8/2/4,oso,,,,42705904.0,ns,214570
Expression 8/2/4,oso,,,,43376284.0,ns,219560
Expression 8/2/4,oso,,,,43794675.0,ns,224550
Expression 8/2/4,oso,,,,45780287.0,ns,229540
Expression 8/2/4,oso,,,,47132755.0,ns,234530
Expression 8/2/4,oso,,,,47832718.0,ns,239520
Expression 8/2/4,oso,,,,48029863.0,ns,244510
Expression 8/2/4,oso,,,,50004084.0,ns,249500
Expression 8/2/4,oso,,,,51045675.0,ns,254490
Expression 8/2/4,oso,,,,51136816.0,ns,259480
Expression 8/2/4,oso,,,,51979986.0,ns,264470
Expression 8/2/4,oso,,,,54408366.0,ns,269460
Expression 8/2/4,oso,,,,55841494.0,ns,274450
Expression 8/2/4,oso,,,,56756847.0,ns,279440
Expression 8/2/4,oso,,,,56241582.0,ns,284430
Expression 8/2/4,oso,,,,57150234.0,ns,289420
Expression 8/2/4,oso,,,,58325595.0,ns,294410
Expression 8/2/4,oso,,,,58667401.0,ns,299400
Expression 8/2/4,oso,,,,60182915.0,ns,304390
Expression 8/2/4,oso,,,,60576621.0,ns,309380
Expression 8/2/4,oso,,,,61930919.0,ns,314370
Expression 8/2/4,oso,,,,62918977.0,ns,319360
Expression 8/2/4,oso,,,,63555149.0,ns,324350
Expression 8/2/4,oso,,,,65108080.0,ns,329340
Expression 8/2/4,oso,,,,65792700.0,ns,334330
Expression 8/2/4,oso,,,,66484822.0,ns,339320
Expression 8/2/4,oso,,,,67724743.0,ns,344310
Expression 8/2/4,oso,,,,68655390.0,ns,349300
Expression 8/2/4,oso,,,,70365337.0,ns,354290
Expression 8/2/4,oso,,,,73048170.0,ns,359280
Expression 8/2/4,oso,,,,72322103.0,ns,364270
Expression 8/2/4,oso,,,,72322536.0,ns,369260
Expression 8/2/4,oso,,,,73734186.0,ns,374250
Expression 8/2/4,oso,,,,75343218.0,ns,379240
Expression 8/2/4,oso,,,,75701159.0,ns,384230
Expression 8/2/4,oso,,,,77626551.0,ns,389220
Expression 8/2/4,oso,,,,79739299.0,ns,394210
Expression 8/2/4,oso,,,,79074948.0,ns,399200
Expression 8/2/4,oso,,,,80934866.0,ns,404190
Expression 8/2/4,oso,,,,80917298.0,ns,409180
Expression 8/2/4,oso,,,,82904467.0,ns,414170
Expression 8/2/4,oso,,,,83655941.0,ns,419160
Expression 8/2/4,oso,,,,84041546.0,ns,424150
Expression 8/2/4,oso,,,,84147354.0,ns,429140
Expression 8/2/4,oso,,,,85546760.0,ns,434130
Expression 8/2/4,oso,,,,86320410.0,ns,439120
Expression 8/2/4,oso,,,,87505449.0,ns,444110
Expression 8/2/4,oso,,,,88391335.0,ns,449100
Expression 8/2/4,oso,,,,89200346.0,ns,454090
Expression 8/2/4,oso,,,,90472438.0,ns,459080
Expression 8/2/4,oso,,,,91585711.0,ns,464070
Expression 8/2/4,oso,,,,92305290.0,ns,469060
Expression 8/2/4,oso,,,,93082108.0,ns,474050
Expression 8/2/4,oso,,,,95048959.0,ns,479040
Expression 8/2/4,oso,,,,98847599.0,ns,484030
Expression 8/2/4,oso,,,,100804060.0,ns,489020
Expression 8/2/4,oso,,,,103859670.0,ns,494010
Expression 8/2/4,oso,,,,101875380.0,ns,499000
