group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Intersection 8/2,native,,,,1009565.0,ns,8537
Intersection 8/2,native,,,,1932913.0,ns,17074
Intersection 8/2,native,,,,2849825.0,ns,25611
Intersection 8/2,native,,,,3865249.0,ns,34148
Intersection 8/2,native,,,,5276152.0,ns,42685
Intersection 8/2,native,,,,5816613.0,ns,51222
Intersection 8/2,native,,,,6763067.0,ns,59759
Intersection 8/2,native,,,,8235943.0,ns,68296
Intersection 8/2,native,,,,8811088.0,ns,76833
Intersection 8/2,native,,,,9848240.0,ns,85370
Intersection 8/2,native,,,,10819526.0,ns,93907
Intersection 8/2,native,,,,12501510.0,ns,102444
Intersection 8/2,native,,,,12810590.0,ns,110981
Intersection 8/2,native,,,,13729924.0,ns,119518
Intersection 8/2,native,,,,14769993.0,ns,128055
Intersection 8/2,native,,,,15541413.0,ns,136592
Intersection 8/2,native,,,,16970920.0,ns,145129
Intersection 8/2,native,,,,17288725.0,ns,153666
Intersection 8/2,native,,,,18480194.0,ns,162203
Intersection 8/2,native,,,,19474070.0,ns,170740
Intersection 8/2,native,,,,20340696.0,ns,179277
Intersection 8/2,native,,,,22225705.0,ns,187814
Intersection 8/2,native,,,,22604321.0,ns,196351
Intersection 8/2,native,,,,23662384.0,ns,204888
Intersection 8/2,native,,,,24208313.0,ns,213425
Intersection 8/2,native,,,,26859924.0,ns,221962
Intersection 8/2,native,,,,26898387.0,ns,230499
Intersection 8/2,native,,,,28533446.0,ns,239036
Intersection 8/2,native,,,,29069766.0,ns,247573
Intersection 8/2,native,,,,29455193.0,ns,256110
Intersection 8/2,native,,,,30131876.0,ns,264647
Intersection 8/2,native,,,,32800003.0,ns,273184
Intersection 8/2,native,,,,32670476.0,ns,281721
Intersection 8/2,native,,,,33209321.0,ns,290258
Intersection 8/2,native,,,,33979722.0,ns,298795
Intersection 8/2,native,,,,36879861.0,ns,307332
Intersection 8/2,native,,,,37092925.0,ns,315869
Intersection 8/2,native,,,,37171105.0,ns,324406
Intersection 8/2,native,,,,38274806.0,ns,332943
Intersection 8/2,native,,,,39160539.0,ns,341480
Intersection 8/2,native,,,,40269863.0,ns,350017
Intersection 8/2,native,,,,42234105.0,ns,358554
Intersection 8/2,native,,,,43441163.0,ns,367091
Intersection 8/2,native,,,,43239324.0,ns,375628
Intersection 8/2,native,,,,44711760.0,ns,384165
Intersection 8/2,native,,,,45764384.0,ns,392702
Intersection 8/2,native,,,,46208331.0,ns,401239
Intersection 8/2,native,,,,47202945.0,ns,409776
Intersection 8/2,native,,,,47679004.0,ns,418313
Intersection 8/2,native,,,,48768684.0,ns,426850
Intersection 8/2,native,,,,49911914.0,ns,435387
Intersection 8/2,native,,,,51237559.0,ns,443924
Intersection 8/2,native,,,,52293662.0,ns,452461
Intersection 8/2,native,,,,53203447.0,ns,460998
Intersection 8/2,native,,,,54802183.0,ns,469535
Intersection 8/2,native,,,,55264844.0,ns,478072
Intersection 8/2,native,,,,55326407.0,ns,486609
Intersection 8/2,native,,,,57108045.0,ns,495146
Intersection 8/2,native,,,,57490106.0,ns,503683
Intersection 8/2,native,,,,58737436.0,ns,512220
Intersection 8/2,native,,,,59753567.0,ns,520757
Intersection 8/2,native,,,,61269163.0,ns,529294
Intersection 8/2,native,,,,63566901.0,ns,537831
Intersection 8/2,native,,,,63136138.0,ns,546368
Intersection 8/2,native,,,,64137452.0,ns,554905
Intersection 8/2,native,,,,64648134.0,ns,563442
Intersection 8/2,native,,,,68148725.0,ns,571979
Intersection 8/2,native,,,,67600393.0,ns,580516
Intersection 8/2,native,,,,68649885.0,ns,589053
Intersection 8/2,native,,,,69362929.0,ns,597590
Intersection 8/2,native,,,,69903042.0,ns,606127
Intersection 8/2,native,,,,71457934.0,ns,614664
Intersection 8/2,native,,,,71265672.0,ns,623201
Intersection 8/2,native,,,,72066115.0,ns,631738
Intersection 8/2,native,,,,73980228.0,ns,640275
Intersection 8/2,native,,,,74401993.0,ns,648812
Intersection 8/2,native,,,,76456703.0,ns,657349
Intersection 8/2,native,,,,77679695.0,ns,665886
Intersection 8/2,native,,,,80120707.0,ns,674423
Intersection 8/2,native,,,,80530911.0,ns,682960
Intersection 8/2,native,,,,81631055.0,ns,691497
Intersection 8/2,native,,,,83199902.0,ns,700034
Intersection 8/2,native,,,,82213216.0,ns,708571
Intersection 8/2,native,,,,83067434.0,ns,717108
Intersection 8/2,native,,,,82958591.0,ns,725645
Intersection 8/2,native,,,,84118074.0,ns,734182
Intersection 8/2,native,,,,85856347.0,ns,742719
Intersection 8/2,native,,,,89255256.0,ns,751256
Intersection 8/2,native,,,,88916627.0,ns,759793
Intersection 8/2,native,,,,89371210.0,ns,768330
Intersection 8/2,native,,,,89583604.0,ns,776867
Intersection 8/2,native,,,,90189764.0,ns,785404
Intersection 8/2,native,,,,90602594.0,ns,793941
Intersection 8/2,native,,,,94553046.0,ns,802478
Intersection 8/2,native,,,,95627854.0,ns,811015
Intersection 8/2,native,,,,98140109.0,ns,819552
Intersection 8/2,native,,,,97803024.0,ns,828089
Intersection 8/2,native,,,,97210771.0,ns,836626
Intersection 8/2,native,,,,96689919.0,ns,845163
Intersection 8/2,native,,,,97993103.0,ns,853700
