group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Intersection 8/2,native,,,,1001760.0,ns,8353
Intersection 8/2,native,,,,2034063.0,ns,16706
Intersection 8/2,native,,,,2984886.0,ns,25059
Intersection 8/2,native,,,,4149702.0,ns,33412
Intersection 8/2,native,,,,5478810.0,ns,41765
Intersection 8/2,native,,,,6009384.0,ns,50118
Intersection 8/2,native,,,,7284833.0,ns,58471
Intersection 8/2,native,,,,8315807.0,ns,66824
Intersection 8/2,native,,,,9283190.0,ns,75177
Intersection 8/2,native,,,,10523028.0,ns,83530
Intersection 8/2,native,,,,11239278.0,ns,91883
Intersection 8/2,native,,,,12315930.0,ns,100236
Intersection 8/2,native,,,,13121085.0,ns,108589
Intersection 8/2,native,,,,14109709.0,ns,116942
Intersection 8/2,native,,,,21886289.0,ns,125295
Intersection 8/2,native,,,,16711658.0,ns,133648
Intersection 8/2,native,,,,17387330.0,ns,142001
Intersection 8/2,native,,,,18167352.0,ns,150354
Intersection 8/2,native,,,,19276641.0,ns,158707
Intersection 8/2,native,,,,20100562.0,ns,167060
Intersection 8/2,native,,,,21050576.0,ns,175413
Intersection 8/2,native,,,,23902854.0,ns,183766
Intersection 8/2,native,,,,22812990.0,ns,192119
Intersection 8/2,native,,,,24304643.0,ns,200472
Intersection 8/2,native,,,,24624953.0,ns,208825
Intersection 8/2,native,,,,26965356.0,ns,217178
Intersection 8/2,native,,,,26774484.0,ns,225531
Intersection 8/2,native,,,,27719316.0,ns,233884
Intersection 8/2,native,,,,28809762.0,ns,242237
Intersection 8/2,native,,,,30134557.0,ns,250590
Intersection 8/2,native,,,,30804057.0,ns,258943
Intersection 8/2,native,,,,32147870.0,ns,267296
Intersection 8/2,native,,,,32644532.0,ns,275649
Intersection 8/2,native,,,,33928738.0,ns,284002
Intersection 8/2,native,,,,34650338.0,ns,292355
Intersection 8/2,native,,,,35771089.0,ns,300708
Intersection 8/2,native,,,,37682306.0,ns,309061
Intersection 8/2,native,,,,38689059.0,ns,317414
Intersection 8/2,native,,,,38845405.0,ns,325767
Intersection 8/2,native,,,,38848955.0,ns,334120
Intersection 8/2,native,,,,40591588.0,ns,342473
Intersection 8/2,native,,,,43266926.0,ns,350826
Intersection 8/2,native,,,,42603812.0,ns,359179
Intersection 8/2,native,,,,43936448.0,ns,367532
Intersection 8/2,native,,,,44817055.0,ns,375885
Intersection 8/2,native,,,,46141395.0,ns,384238
Intersection 8/2,native,,,,47988872.0,ns,392591
Intersection 8/2,native,,,,48772491.0,ns,400944
Intersection 8/2,native,,,,49418738.0,ns,409297
Intersection 8/2,native,,,,49365795.0,ns,417650
Intersection 8/2,native,,,,50067962.0,ns,426003
Intersection 8/2,native,,,,53775647.0,ns,434356
Intersection 8/2,native,,,,53639141.0,ns,442709
Intersection 8/2,native,,,,53258422.0,ns,451062
Intersection 8/2,native,,,,55192561.0,ns,459415
Intersection 8/2,native,,,,88156981.0,ns,467768
Intersection 8/2,native,,,,58567338.0,ns,476121
Intersection 8/2,native,,,,58029552.0,ns,484474
Intersection 8/2,native,,,,58900687.0,ns,492827
Intersection 8/2,native,,,,59451465.0,ns,501180
Intersection 8/2,native,,,,59978499.0,ns,509533
Intersection 8/2,native,,,,62644801.0,ns,517886
Intersection 8/2,native,,,,62372542.0,ns,526239
Intersection 8/2,native,,,,62908016.0,ns,534592
Intersection 8/2,native,,,,62200842.0,ns,542945
Intersection 8/2,native,,,,65270290.0,ns,551298
Intersection 8/2,native,,,,64601803.0,ns,559651
Intersection 8/2,native,,,,65876084.0,ns,568004
Intersection 8/2,native,,,,67503451.0,ns,576357
Intersection 8/2,native,,,,68971841.0,ns,584710
Intersection 8/2,native,,,,69806326.0,ns,593063
Intersection 8/2,native,,,,69630505.0,ns,601416
Intersection 8/2,native,,,,71577108.0,ns,609769
Intersection 8/2,native,,,,70329753.0,ns,618122
Intersection 8/2,native,,,,71554045.0,ns,626475
Intersection 8/2,native,,,,73191264.0,ns,634828
Intersection 8/2,native,,,,90287428.0,ns,643181
Intersection 8/2,native,,,,76075629.0,ns,651534
Intersection 8/2,native,,,,75187595.0,ns,659887
Intersection 8/2,native,,,,75943475.0,ns,668240
Intersection 8/2,native,,,,77149354.0,ns,676593
Intersection 8/2,native,,,,82151321.0,ns,684946
Intersection 8/2,native,,,,81661842.0,ns,693299
Intersection 8/2,native,,,,82136963.0,ns,701652
Intersection 8/2,native,,,,82908452.0,ns,710005
Intersection 8/2,native,,,,86196038.0,ns,718358
Intersection 8/2,native,,,,85074655.0,ns,726711
Intersection 8/2,native,,,,86043461.0,ns,735064
Intersection 8/2,native,,,,88709257.0,ns,743417
Intersection 8/2,native,,,,89218950.0,ns,751770
Intersection 8/2,native,,,,87110207.0,ns,760123
Intersection 8/2,native,,,,89638732.0,ns,768476
Intersection 8/2,native,,,,90525708.0,ns,776829
Intersection 8/2,native,,,,90649372.0,ns,785182
Intersection 8/2,native,,,,92757819.0,ns,793535
Intersection 8/2,native,,,,94417035.0,ns,801888
Intersection 8/2,native,,,,93594942.0,ns,810241
Intersection 8/2,native,,,,93669412.0,ns,818594
Intersection 8/2,native,,,,96090459.0,ns,826947
Intersection 8/2,native,,,,100530765.0,ns,835300
