group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Intersection 8/2,oso,,,,1069725.0,ns,9186
Intersection 8/2,oso,,,,1976035.0,ns,18372
Intersection 8/2,oso,,,,3533555.0,ns,27558
Intersection 8/2,oso,,,,4041492.0,ns,36744
Intersection 8/2,oso,,,,5291076.0,ns,45930
Intersection 8/2,oso,,,,5692796.0,ns,55116
Intersection 8/2,oso,,,,6643706.0,ns,64302
Intersection 8/2,oso,,,,7715485.0,ns,73488
Intersection 8/2,oso,,,,8647131.0,ns,82674
Intersection 8/2,oso,,,,10071082.0,ns,91860
Intersection 8/2,oso,,,,10730603.0,ns,101046
Intersection 8/2,oso,,,,11359770.0,ns,110232
Intersection 8/2,oso,,,,12315486.0,ns,119418
Intersection 8/2,oso,,,,13363354.0,ns,128604
Intersection 8/2,oso,,,,14237409.0,ns,137790
Intersection 8/2,oso,,,,15057294.0,ns,146976
Intersection 8/2,oso,,,,16369264.0,ns,156162
Intersection 8/2,oso,,,,17448421.0,ns,165348
Intersection 8/2,oso,,,,18068012.0,ns,174534
Intersection 8/2,oso,,,,18829481.0,ns,183720
Intersection 8/2,oso,,,,19836783.0,ns,192906
Intersection 8/2,oso,,,,21651962.0,ns,202092
Intersection 8/2,oso,,,,22680923.0,ns,211278
Intersection 8/2,oso,,,,22688277.0,ns,220464
Intersection 8/2,oso,,,,23786465.0,ns,229650
Intersection 8/2,oso,,,,24590416.0,ns,238836
Intersection 8/2,oso,,,,25846915.0,ns,248022
Intersection 8/2,oso,,,,26621632.0,ns,257208
Intersection 8/2,oso,,,,27433464.0,ns,266394
Intersection 8/2,oso,,,,28344798.0,ns,275580
Intersection 8/2,oso,,,,30149092.0,ns,284766
Intersection 8/2,oso,,,,32340423.0,ns,293952
Intersection 8/2,oso,,,,33103357.0,ns,303138
Intersection 8/2,oso,,,,33902873.0,ns,312324
Intersection 8/2,oso,,,,34191806.0,ns,321510
Intersection 8/2,oso,,,,34944583.0,ns,330696
Intersection 8/2,oso,,,,37232414.0,ns,339882
Intersection 8/2,oso,,,,37357405.0,ns,349068
Intersection 8/2,oso,,,,39750560.0,ns,358254
Intersection 8/2,oso,,,,38927246.0,ns,367440
Intersection 8/2,oso,,,,40785309.0,ns,376626
Intersection 8/2,oso,,,,41384734.0,ns,385812
Intersection 8/2,oso,,,,41608505.0,ns,394998
Intersection 8/2,oso,,,,41998592.0,ns,404184
Intersection 8/2,oso,,,,42999278.0,ns,413370
Intersection 8/2,oso,,,,44608322.0,ns,422556
Intersection 8/2,oso,,,,44724170.0,ns,431742
Intersection 8/2,oso,,,,45421594.0,ns,440928
Intersection 8/2,oso,,,,46928943.0,ns,450114
Intersection 8/2,oso,,,,48094417.0,ns,459300
Intersection 8/2,oso,,,,49671561.0,ns,468486
Intersection 8/2,oso,,,,50066272.0,ns,477672
Intersection 8/2,oso,,,,51719717.0,ns,486858
Intersection 8/2,oso,,,,51178043.0,ns,496044
Intersection 8/2,oso,,,,52436449.0,ns,505230
Intersection 8/2,oso,,,,53462932.0,ns,514416
Intersection 8/2,oso,,,,54417525.0,ns,523602
Intersection 8/2,oso,,,,55170964.0,ns,532788
Intersection 8/2,oso,,,,55845392.0,ns,541974
Intersection 8/2,oso,,,,58985168.0,ns,551160
Intersection 8/2,oso,,,,57655665.0,ns,560346
Intersection 8/2,oso,,,,59402106.0,ns,569532
Intersection 8/2,oso,,,,60487992.0,ns,578718
Intersection 8/2,oso,,,,61162741.0,ns,587904
Intersection 8/2,oso,,,,62826270.0,ns,597090
Intersection 8/2,oso,,,,64035155.0,ns,606276
Intersection 8/2,oso,,,,66324434.0,ns,615462
Intersection 8/2,oso,,,,67825921.0,ns,624648
Intersection 8/2,oso,,,,68077870.0,ns,633834
Intersection 8/2,oso,,,,68829950.0,ns,643020
Intersection 8/2,oso,,,,69857977.0,ns,652206
Intersection 8/2,oso,,,,70412040.0,ns,661392
Intersection 8/2,oso,,,,69881719.0,ns,670578
Intersection 8/2,oso,,,,71661493.0,ns,679764
Intersection 8/2,oso,,,,73322907.0,ns,688950
Intersection 8/2,oso,,,,72228077.0,ns,698136
Intersection 8/2,oso,,,,75038378.0,ns,707322
Intersection 8/2,oso,,,,75218728.0,ns,716508
Intersection 8/2,oso,,,,77157003.0,ns,725694
Intersection 8/2,oso,,,,75868322.0,ns,734880
Intersection 8/2,oso,,,,77420985.0,ns,744066
Intersection 8/2,oso,,,,79415744.0,ns,753252
Intersection 8/2,oso,,,,80573261.0,ns,762438
Intersection 8/2,oso,,,,81127668.0,ns,771624
Intersection 8/2,oso,,,,84090042.0,ns,780810
Intersection 8/2,oso,,,,85563425.0,ns,789996
Intersection 8/2,oso,,,,87919653.0,ns,799182
Intersection 8/2,oso,,,,86511658.0,ns,808368
Intersection 8/2,oso,,,,86197502.0,ns,817554
Intersection 8/2,oso,,,,86623709.0,ns,826740
Intersection 8/2,oso,,,,87363765.0,ns,835926
Intersection 8/2,oso,,,,87259549.0,ns,845112
Intersection 8/2,oso,,,,92280460.0,ns,854298
Intersection 8/2,oso,,,,90962187.0,ns,863484
Intersection 8/2,oso,,,,91359933.0,ns,872670
Intersection 8/2,oso,,,,92180225.0,ns,881856
Intersection 8/2,oso,,,,94083798.0,ns,891042
Intersection 8/2,oso,,,,93490857.0,ns,900228
Intersection 8/2,oso,,,,95968436.0,ns,909414
Intersection 8/2,oso,,,,95800107.0,ns,918600
