group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Intersection 8/2,oso,,,,1071989.0,ns,9372
Intersection 8/2,oso,,,,2082532.0,ns,18744
Intersection 8/2,oso,,,,3079959.0,ns,28116
Intersection 8/2,oso,,,,4260324.0,ns,37488
Intersection 8/2,oso,,,,5948188.0,ns,46860
Intersection 8/2,oso,,,,6891980.0,ns,56232
Intersection 8/2,oso,,,,7980993.0,ns,65604
Intersection 8/2,oso,,,,8563652.0,ns,74976
Intersection 8/2,oso,,,,9845877.0,ns,84348
Intersection 8/2,oso,,,,11074651.0,ns,93720
Intersection 8/2,oso,,,,11642342.0,ns,103092
Intersection 8/2,oso,,,,12645419.0,ns,112464
Intersection 8/2,oso,,,,13405577.0,ns,121836
Intersection 8/2,oso,,,,14487845.0,ns,131208
Intersection 8/2,oso,,,,17071208.0,ns,140580
Intersection 8/2,oso,,,,16970599.0,ns,149952
Intersection 8/2,oso,,,,18550703.0,ns,159324
Intersection 8/2,oso,,,,18598360.0,ns,168696
Intersection 8/2,oso,,,,19728841.0,ns,178068
Intersection 8/2,oso,,,,20638715.0,ns,187440
Intersection 8/2,oso,,,,22205421.0,ns,196812
Intersection 8/2,oso,,,,24000957.0,ns,206184
Intersection 8/2,oso,,,,24158222.0,ns,215556
Intersection 8/2,oso,,,,24876880.0,ns,224928
Intersection 8/2,oso,,,,26416980.0,ns,234300
Intersection 8/2,oso,,,,28171316.0,ns,243672
Intersection 8/2,oso,,,,29162155.0,ns,253044
Intersection 8/2,oso,,,,30958554.0,ns,262416
Intersection 8/2,oso,,,,31182415.0,ns,271788
Intersection 8/2,oso,,,,32091384.0,ns,281160
Intersection 8/2,oso,,,,33586249.0,ns,290532
Intersection 8/2,oso,,,,34956173.0,ns,299904
Intersection 8/2,oso,,,,35432905.0,ns,309276
Intersection 8/2,oso,,,,36674005.0,ns,318648
Intersection 8/2,oso,,,,37627493.0,ns,328020
Intersection 8/2,oso,,,,38409003.0,ns,337392
Intersection 8/2,oso,,,,40491368.0,ns,346764
Intersection 8/2,oso,,,,39966406.0,ns,356136
Intersection 8/2,oso,,,,40815480.0,ns,365508
Intersection 8/2,oso,,,,41800843.0,ns,374880
Intersection 8/2,oso,,,,42547089.0,ns,384252
Intersection 8/2,oso,,,,44410339.0,ns,393624
Intersection 8/2,oso,,,,44711782.0,ns,402996
Intersection 8/2,oso,,,,46016258.0,ns,412368
Intersection 8/2,oso,,,,46511671.0,ns,421740
Intersection 8/2,oso,,,,48723252.0,ns,431112
Intersection 8/2,oso,,,,49032438.0,ns,440484
Intersection 8/2,oso,,,,50049727.0,ns,449856
Intersection 8/2,oso,,,,50715848.0,ns,459228
Intersection 8/2,oso,,,,53002692.0,ns,468600
Intersection 8/2,oso,,,,52840060.0,ns,477972
Intersection 8/2,oso,,,,54270386.0,ns,487344
Intersection 8/2,oso,,,,54977828.0,ns,496716
Intersection 8/2,oso,,,,56582097.0,ns,506088
Intersection 8/2,oso,,,,56976519.0,ns,515460
Intersection 8/2,oso,,,,58031190.0,ns,524832
Intersection 8/2,oso,,,,59494785.0,ns,534204
Intersection 8/2,oso,,,,60315587.0,ns,543576
Intersection 8/2,oso,,,,61454464.0,ns,552948
Intersection 8/2,oso,,,,62227134.0,ns,562320
Intersection 8/2,oso,,,,63909118.0,ns,571692
Intersection 8/2,oso,,,,64852206.0,ns,581064
Intersection 8/2,oso,,,,65613904.0,ns,590436
Intersection 8/2,oso,,,,67652230.0,ns,599808
Intersection 8/2,oso,,,,67441382.0,ns,609180
Intersection 8/2,oso,,,,71098883.0,ns,618552
Intersection 8/2,oso,,,,72024107.0,ns,627924
Intersection 8/2,oso,,,,71875174.0,ns,637296
Intersection 8/2,oso,,,,71988595.0,ns,646668
Intersection 8/2,oso,,,,72955162.0,ns,656040
Intersection 8/2,oso,,,,73938644.0,ns,665412
Intersection 8/2,oso,,,,75251902.0,ns,674784
Intersection 8/2,oso,,,,75928612.0,ns,684156
Intersection 8/2,oso,,,,77173585.0,ns,693528
Intersection 8/2,oso,,,,77968279.0,ns,702900
Intersection 8/2,oso,,,,79028050.0,ns,712272
Intersection 8/2,oso,,,,81506221.0,ns,721644
Intersection 8/2,oso,,,,81145473.0,ns,731016
Intersection 8/2,oso,,,,83503600.0,ns,740388
Intersection 8/2,oso,,,,83522418.0,ns,749760
Intersection 8/2,oso,,,,84359867.0,ns,759132
Intersection 8/2,oso,,,,85634777.0,ns,768504
Intersection 8/2,oso,,,,86420490.0,ns,777876
Intersection 8/2,oso,,,,87376137.0,ns,787248
Intersection 8/2,oso,,,,88385434.0,ns,796620
Intersection 8/2,oso,,,,92127842.0,ns,805992
Intersection 8/2,oso,,,,90803446.0,ns,815364
Intersection 8/2,oso,,,,91741918.0,ns,824736
Intersection 8/2,oso,,,,93699253.0,ns,834108
Intersection 8/2,oso,,,,93608806.0,ns,843480
Intersection 8/2,oso,,,,95011045.0,ns,852852
Intersection 8/2,oso,,,,95934560.0,ns,862224
Intersection 8/2,oso,,,,97125697.0,ns,871596
Intersection 8/2,oso,,,,97780300.0,ns,880968
Intersection 8/2,oso,,,,100526134.0,ns,890340
Intersection 8/2,oso,,,,104960034.0,ns,899712
Intersection 8/2,oso,,,,103696840.0,ns,909084
Intersection 8/2,oso,,,,104464459.0,ns,918456
Intersection 8/2,oso,,,,106943110.0,ns,927828
Intersection 8/2,oso,,,,107441850.0,ns,937200
