group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Overhead 6,native,,,,1018436.0,ns,6598
Overhead 6,native,,,,1919361.0,ns,13196
Overhead 6,native,,,,2908465.0,ns,19794
Overhead 6,native,,,,4126801.0,ns,26392
Overhead 6,native,,,,5570183.0,ns,32990
Overhead 6,native,,,,6031587.0,ns,39588
Overhead 6,native,,,,7317656.0,ns,46186
Overhead 6,native,,,,8086888.0,ns,52784
Overhead 6,native,,,,8920093.0,ns,59382
Overhead 6,native,,,,10071187.0,ns,65980
Overhead 6,native,,,,11021408.0,ns,72578
Overhead 6,native,,,,12233477.0,ns,79176
Overhead 6,native,,,,12991338.0,ns,85774
Overhead 6,native,,,,13882791.0,ns,92372
Overhead 6,native,,,,15200450.0,ns,98970
Overhead 6,native,,,,16571011.0,ns,105568
Overhead 6,native,,,,17033847.0,ns,112166
Overhead 6,native,,,,17685828.0,ns,118764
Overhead 6,native,,,,18762149.0,ns,125362
Overhead 6,native,,,,19637537.0,ns,131960
Overhead 6,native,,,,21125126.0,ns,138558
Overhead 6,native,,,,21492481.0,ns,145156
Overhead 6,native,,,,22962372.0,ns,151754
Overhead 6,native,,,,23872260.0,ns,158352
Overhead 6,native,,,,25099232.0,ns,164950
Overhead 6,native,,,,25539485.0,ns,171548
Overhead 6,native,,,,26493985.0,ns,178146
Overhead 6,native,,,,27489683.0,ns,184744
Overhead 6,native,,,,29161958.0,ns,191342
Overhead 6,native,,,,29932565.0,ns,197940
Overhead 6,native,,,,30639670.0,ns,204538
Overhead 6,native,,,,32488983.0,ns,211136
Overhead 6,native,,,,32435011.0,ns,217734
Overhead 6,native,,,,33491033.0,ns,224332
Overhead 6,native,,,,34755111.0,ns,230930
Overhead 6,native,,,,35319765.0,ns,237528
Overhead 6,native,,,,36431798.0,ns,244126
Overhead 6,native,,,,37825314.0,ns,250724
Overhead 6,native,,,,38414552.0,ns,257322
Overhead 6,native,,,,39154322.0,ns,263920
Overhead 6,native,,,,40840796.0,ns,270518
Overhead 6,native,,,,41032855.0,ns,277116
Overhead 6,native,,,,42458590.0,ns,283714
Overhead 6,native,,,,43117527.0,ns,290312
Overhead 6,native,,,,44411925.0,ns,296910
Overhead 6,native,,,,44961174.0,ns,303508
Overhead 6,native,,,,46042038.0,ns,310106
Overhead 6,native,,,,47637895.0,ns,316704
Overhead 6,native,,,,48021185.0,ns,323302
Overhead 6,native,,,,49787955.0,ns,329900
Overhead 6,native,,,,49899289.0,ns,336498
Overhead 6,native,,,,51253841.0,ns,343096
Overhead 6,native,,,,51957603.0,ns,349694
Overhead 6,native,,,,55242717.0,ns,356292
Overhead 6,native,,,,55924969.0,ns,362890
Overhead 6,native,,,,55312545.0,ns,369488
Overhead 6,native,,,,56926394.0,ns,376086
Overhead 6,native,,,,57082169.0,ns,382684
Overhead 6,native,,,,58400521.0,ns,389282
Overhead 6,native,,,,58668584.0,ns,395880
Overhead 6,native,,,,62015953.0,ns,402478
Overhead 6,native,,,,61127864.0,ns,409076
Overhead 6,native,,,,61828012.0,ns,415674
Overhead 6,native,,,,63243195.0,ns,422272
Overhead 6,native,,,,63982437.0,ns,428870
Overhead 6,native,,,,64712484.0,ns,435468
Overhead 6,native,,,,66114754.0,ns,442066
Overhead 6,native,,,,66740469.0,ns,448664
Overhead 6,native,,,,67975277.0,ns,455262
Overhead 6,native,,,,69129164.0,ns,461860
Overhead 6,native,,,,71123496.0,ns,468458
Overhead 6,native,,,,70769051.0,ns,475056
Overhead 6,native,,,,71962027.0,ns,481654
Overhead 6,native,,,,72870018.0,ns,488252
Overhead 6,native,,,,73699459.0,ns,494850
Overhead 6,native,,,,75474239.0,ns,501448
Overhead 6,native,,,,77681881.0,ns,508046
Overhead 6,native,,,,79227946.0,ns,514644
Overhead 6,native,,,,79337512.0,ns,521242
Overhead 6,native,,,,78791406.0,ns,527840
Overhead 6,native,,,,79705242.0,ns,534438
Overhead 6,native,,,,80915806.0,ns,541036
Overhead 6,native,,,,81309747.0,ns,547634
Overhead 6,native,,,,84119641.0,ns,554232
Overhead 6,native,,,,83896497.0,ns,560830
Overhead 6,native,,,,86362761.0,ns,567428
Overhead 6,native,,,,89164519.0,ns,574026
Overhead 6,native,,,,89929557.0,ns,580624
Overhead 6,native,,,,90110050.0,ns,587222
Overhead 6,native,,,,91330873.0,ns,593820
Overhead 6,native,,,,89597858.0,ns,600418
Overhead 6,native,,,,90594900.0,ns,607016
Overhead 6,native,,,,91617696.0,ns,613614
Overhead 6,native,,,,92087998.0,ns,620212
Overhead 6,native,,,,93938899.0,ns,626810
Overhead 6,native,,,,96660279.0,ns,633408
Overhead 6,native,,,,98092037.0,ns,640006
Overhead 6,native,,,,98343098.0,ns,646604
Overhead 6,native,,,,99914993.0,ns,653202
Overhead 6,native,,,,99174071.0,ns,659800
