group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Overhead 6,oso,,,,1005251.0,ns,6343
Overhead 6,oso,,,,1922520.0,ns,12686
Overhead 6,oso,,,,2868982.0,ns,19029
Overhead 6,oso,,,,3825391.0,ns,25372
Overhead 6,oso,,,,5878779.0,ns,31715
Overhead 6,oso,,,,6018085.0,ns,38058
Overhead 6,oso,,,,7257077.0,ns,44401
Overhead 6,oso,,,,7771918.0,ns,50744
Overhead 6,oso,,,,8764593.0,ns,57087
Overhead 6,oso,,,,9641676.0,ns,63430
Overhead 6,oso,,,,11540913.0,ns,69773
Overhead 6,oso,,,,12176408.0,ns,76116
Overhead 6,oso,,,,12916441.0,ns,82459
Overhead 6,oso,,,,13844839.0,ns,88802
Overhead 6,oso,,,,15093508.0,ns,95145
Overhead 6,oso,,,,15788662.0,ns,101488
Overhead 6,oso,,,,16765793.0,ns,107831
Overhead 6,oso,,,,17667933.0,ns,114174
Overhead 6,oso,,,,18936722.0,ns,120517
Overhead 6,oso,,,,19790737.0,ns,126860
Overhead 6,oso,,,,20599026.0,ns,133203
Overhead 6,oso,,,,21337088.0,ns,139546
Overhead 6,oso,,,,22107590.0,ns,145889
Overhead 6,oso,,,,23139035.0,ns,152232
Overhead 6,oso,,,,25264947.0,ns,158575
Overhead 6,oso,,,,25503162.0,ns,164918
Overhead 6,oso,,,,26286346.0,ns,171261
Overhead 6,oso,,,,26952731.0,ns,177604
Overhead 6,oso,,,,28340921.0,ns,183947
Overhead 6,oso,,,,28810763.0,ns,190290
Overhead 6,oso,,,,29962254.0,ns,196633
Overhead 6,oso,,,,31331725.0,ns,202976
Overhead 6,oso,,,,31733084.0,ns,209319
Overhead 6,oso,,,,32574540.0,ns,215662
Overhead 6,oso,,,,34009169.0,ns,222005
Overhead 6,oso,,,,35142872.0,ns,228348
Overhead 6,oso,,,,35660482.0,ns,234691
Overhead 6,oso,,,,38022842.0,ns,241034
Overhead 6,oso,,,,38144070.0,ns,247377
Overhead 6,oso,,,,38696850.0,ns,253720
Overhead 6,oso,,,,40056916.0,ns,260063
Overhead 6,oso,,,,40476900.0,ns,266406
Overhead 6,oso,,,,41857609.0,ns,272749
Overhead 6,oso,,,,42583904.0,ns,279092
Overhead 6,oso,,,,43522336.0,ns,285435
Overhead 6,oso,,,,45491323.0,ns,291778
Overhead 6,oso,,,,45550851.0,ns,298121
Overhead 6,oso,,,,46565760.0,ns,304464
Overhead 6,oso,,,,47247927.0,ns,310807
Overhead 6,oso,,,,48573115.0,ns,317150
Overhead 6,oso,,,,49477735.0,ns,323493
Overhead 6,oso,,,,50489004.0,ns,329836
Overhead 6,oso,,,,51278030.0,ns,336179
Overhead 6,oso,,,,52626347.0,ns,342522
Overhead 6,oso,,,,52903776.0,ns,348865
Overhead 6,oso,,,,54406797.0,ns,355208
Overhead 6,oso,,,,54897587.0,ns,361551
Overhead 6,oso,,,,58312183.0,ns,367894
Overhead 6,oso,,,,59389473.0,ns,374237
Overhead 6,oso,,,,58123145.0,ns,380580
Overhead 6,oso,,,,59150558.0,ns,386923
Overhead 6,oso,,,,59649203.0,ns,393266
Overhead 6,oso,,,,61165458.0,ns,399609
Overhead 6,oso,,,,62378619.0,ns,405952
Overhead 6,oso,,,,63583983.0,ns,412295
Overhead 6,oso,,,,63856738.0,ns,418638
Overhead 6,oso,,,,65203471.0,ns,424981
Overhead 6,oso,,,,65900997.0,ns,431324
Overhead 6,oso,,,,67520491.0,ns,437667
Overhead 6,oso,,,,68385826.0,ns,444010
Overhead 6,oso,,,,68351618.0,ns,450353
Overhead 6,oso,,,,69831598.0,ns,456696
Overhead 6,oso,,,,70533573.0,ns,463039
Overhead 6,oso,,,,72464782.0,ns,469382
Overhead 6,oso,,,,72906986.0,ns,475725
Overhead 6,oso,,,,74528420.0,ns,482068
Overhead 6,oso,,,,78221902.0,ns,488411
Overhead 6,oso,,,,77444841.0,ns,494754
Overhead 6,oso,,,,79354060.0,ns,501097
Overhead 6,oso,,,,80214596.0,ns,507440
Overhead 6,oso,,,,81819067.0,ns,513783
Overhead 6,oso,,,,79515104.0,ns,520126
Overhead 6,oso,,,,80223014.0,ns,526469
Overhead 6,oso,,,,81339409.0,ns,532812
Overhead 6,oso,,,,82521561.0,ns,539155
Overhead 6,oso,,,,83652350.0,ns,545498
Overhead 6,oso,,,,85093214.0,ns,551841
Overhead 6,oso,,,,85660732.0,ns,558184
Overhead 6,oso,,,,85862873.0,ns,564527
Overhead 6,oso,,,,87209114.0,ns,570870
Overhead 6,oso,,,,88854887.0,ns,577213
Overhead 6,oso,,,,90563956.0,ns,583556
Overhead 6,oso,,,,93182546.0,ns,589899
Overhead 6,oso,,,,92905818.0,ns,596242
Overhead 6,oso,,,,94383130.0,ns,602585
Overhead 6,oso,,,,97373041.0,ns,608928
Overhead 6,oso,,,,96564096.0,ns,615271
Overhead 6,oso,,,,97613872.0,ns,621614
Overhead 6,oso,,,,98935035.0,ns,627957
Overhead 6,oso,,,,97948212.0,ns,634300
