group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Symmetric Difference 8/2,native,,,,1035052.0,ns,5245
Symmetric Difference 8/2,native,,,,1985983.0,ns,10490
Symmetric Difference 8/2,native,,,,3072063.0,ns,15735
Symmetric Difference 8/2,native,,,,4082555.0,ns,20980
Symmetric Difference 8/2,native,,,,4996623.0,ns,26225
Symmetric Difference 8/2,native,,,,6565298.0,ns,31470
Symmetric Difference 8/2,native,,,,7119199.0,ns,36715
Symmetric Difference 8/2,native,,,,8289644.0,ns,41960
Symmetric Difference 8/2,native,,,,9066461.0,ns,47205
Symmetric Difference 8/2,native,,,,10061519.0,ns,52450
Symmetric Difference 8/2,native,,,,11112237.0,ns,57695
Symmetric Difference 8/2,native,,,,12525938.0,ns,62940
Symmetric Difference 8/2,native,,,,12839997.0,ns,68185
Symmetric Difference 8/2,native,,,,13898588.0,ns,73430
Symmetric Difference 8/2,native,,,,15001420.0,ns,78675
Symmetric Difference 8/2,native,,,,15902267.0,ns,83920
Symmetric Difference 8/2,native,,,,17117013.0,ns,89165
Symmetric Difference 8/2,native,,,,17822325.0,ns,94410
Symmetric Difference 8/2,native,,,,19149550.0,ns,99655
Symmetric Difference 8/2,native,,,,19953369.0,ns,104900
Symmetric Difference 8/2,native,,,,20975395.0,ns,110145
Symmetric Difference 8/2,native,,,,21744254.0,ns,115390
Symmetric Difference 8/2,native,,,,23518771.0,ns,120635
Symmetric Difference 8/2,native,,,,24080611.0,ns,125880
Symmetric Difference 8/2,native,,,,24923935.0,ns,131125
Symmetric Difference 8/2,native,,,,26162475.0,ns,136370
Symmetric Difference 8/2,native,,,,27866767.0,ns,141615
Symmetric Difference 8/2,native,,,,28755225.0,ns,146860
Symmetric Difference 8/2,native,,,,30049871.0,ns,152105
Symmetric Difference 8/2,native,,,,30744910.0,ns,157350
Symmetric Difference 8/2,native,,,,31233384.0,ns,162595
Symmetric Difference 8/2,native,,,,32463877.0,ns,167840
Symmetric Difference 8/2,native,,,,33533838.0,ns,173085
Symmetric Difference 8/2,native,,,,34568464.0,ns,178330
Symmetric Difference 8/2,native,,,,34718056.0,ns,183575
Symmetric Difference 8/2,native,,,,35967958.0,ns,188820
Symmetric Difference 8/2,native,,,,37368991.0,ns,194065
Symmetric Difference 8/2,native,,,,38179467.0,ns,199310
Symmetric Difference 8/2,native,,,,38999529.0,ns,204555
Symmetric Difference 8/2,native,,,,40094200.0,ns,209800
Symmetric Difference 8/2,native,,,,41724612.0,ns,215045
Symmetric Difference 8/2,native,,,,43367562.0,ns,220290
Symmetric Difference 8/2,native,,,,42847339.0,ns,225535
Symmetric Difference 8/2,native,,,,44702842.0,ns,230780
Symmetric Difference 8/2,native,,,,45839217.0,ns,236025
Symmetric Difference 8/2,native,,,,46011803.0,ns,241270
Symmetric Difference 8/2,native,,,,46919628.0,ns,246515
Symmetric Difference 8/2,native,,,,48798724.0,ns,251760
Symmetric Difference 8/2,native,,,,48787571.0,ns,257005
Symmetric Difference 8/2,native,,,,50126933.0,ns,262250
Symmetric Difference 8/2,native,,,,51109002.0,ns,267495
Symmetric Difference 8/2,native,,,,53105225.0,ns,272740
Symmetric Difference 8/2,native,,,,53873896.0,ns,277985
Symmetric Difference 8/2,native,,,,53922729.0,ns,283230
Symmetric Difference 8/2,native,,,,55568017.0,ns,288475
Symmetric Difference 8/2,native,,,,56476056.0,ns,293720
Symmetric Difference 8/2,native,,,,56652810.0,ns,298965
Symmetric Difference 8/2,native,,,,58357757.0,ns,304210
Symmetric Difference 8/2,native,,,,60218056.0,ns,309455
Symmetric Difference 8/2,native,,,,59685610.0,ns,314700
Symmetric Difference 8/2,native,,,,62487018.0,ns,319945
Symmetric Difference 8/2,native,,,,62062614.0,ns,325190
Symmetric Difference 8/2,native,,,,65995147.0,ns,330435
Symmetric Difference 8/2,native,,,,65148359.0,ns,335680
Symmetric Difference 8/2,native,,,,64972661.0,ns,340925
Symmetric Difference 8/2,native,,,,66564097.0,ns,346170
