group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Symmetric Difference 8/2,native,,,,1153973.0,ns,5232
Symmetric Difference 8/2,native,,,,1882533.0,ns,10464
Symmetric Difference 8/2,native,,,,2874617.0,ns,15696
Symmetric Difference 8/2,native,,,,4047981.0,ns,20928
Symmetric Difference 8/2,native,,,,5011758.0,ns,26160
Symmetric Difference 8/2,native,,,,6152642.0,ns,31392
Symmetric Difference 8/2,native,,,,6835898.0,ns,36624
Symmetric Difference 8/2,native,,,,7879955.0,ns,41856
Symmetric Difference 8/2,native,,,,8709697.0,ns,47088
Symmetric Difference 8/2,native,,,,9681346.0,ns,52320
Symmetric Difference 8/2,native,,,,10590835.0,ns,57552
Symmetric Difference 8/2,native,,,,11810475.0,ns,62784
Symmetric Difference 8/2,native,,,,12541020.0,ns,68016
Symmetric Difference 8/2,native,,,,13588593.0,ns,73248
Symmetric Difference 8/2,native,,,,14573840.0,ns,78480
Symmetric Difference 8/2,native,,,,15318886.0,ns,83712
Symmetric Difference 8/2,native,,,,16407387.0,ns,88944
Symmetric Difference 8/2,native,,,,17223242.0,ns,94176
Symmetric Difference 8/2,native,,,,18423541.0,ns,99408
Symmetric Difference 8/2,native,,,,19720715.0,ns,104640
Symmetric Difference 8/2,native,,,,20378689.0,ns,109872
Symmetric Difference 8/2,native,,,,21792485.0,ns,115104
Symmetric Difference 8/2,native,,,,22666384.0,ns,120336
Symmetric Difference 8/2,native,,,,23369198.0,ns,125568
Symmetric Difference 8/2,native,,,,23927352.0,ns,130800
Symmetric Difference 8/2,native,,,,24842359.0,ns,136032
Symmetric Difference 8/2,native,,,,26374549.0,ns,141264
Symmetric Difference 8/2,native,,,,28114092.0,ns,146496
Symmetric Difference 8/2,native,,,,28063703.0,ns,151728
Symmetric Difference 8/2,native,,,,28769746.0,ns,156960
Symmetric Difference 8/2,native,,,,29838060.0,ns,162192
Symmetric Difference 8/2,native,,,,31097517.0,ns,167424
Symmetric Difference 8/2,native,,,,32246831.0,ns,172656
Symmetric Difference 8/2,native,,,,32765189.0,ns,177888
Symmetric Difference 8/2,native,,,,33871275.0,ns,183120
Symmetric Difference 8/2,native,,,,35108948.0,ns,188352
Symmetric Difference 8/2,native,,,,35700335.0,ns,193584
Symmetric Difference 8/2,native,,,,36726584.0,ns,198816
Symmetric Difference 8/2,native,,,,37296868.0,ns,204048
Symmetric Difference 8/2,native,,,,38677944.0,ns,209280
Symmetric Difference 8/2,native,,,,40010174.0,ns,214512
Symmetric Difference 8/2,native,,,,41848186.0,ns,219744
Symmetric Difference 8/2,native,,,,43005611.0,ns,224976
Symmetric Difference 8/2,native,,,,43847016.0,ns,230208
Symmetric Difference 8/2,native,,,,44699107.0,ns,235440
Symmetric Difference 8/2,native,,,,45069143.0,ns,240672
Symmetric Difference 8/2,native,,,,45806954.0,ns,245904
Symmetric Difference 8/2,native,,,,46484990.0,ns,251136
Symmetric Difference 8/2,native,,,,48065020.0,ns,256368
Symmetric Difference 8/2,native,,,,48392204.0,ns,261600
Symmetric Difference 8/2,native,,,,49083917.0,ns,266832
Symmetric Difference 8/2,native,,,,50337934.0,ns,272064
Symmetric Difference 8/2,native,,,,52124782.0,ns,277296
Symmetric Difference 8/2,native,,,,53315981.0,ns,282528
Symmetric Difference 8/2,native,,,,53233459.0,ns,287760
Symmetric Difference 8/2,native,,,,54639783.0,ns,292992
Symmetric Difference 8/2,native,,,,55913054.0,ns,298224
Symmetric Difference 8/2,native,,,,55756559.0,ns,303456
Symmetric Difference 8/2,native,,,,57231598.0,ns,308688
Symmetric Difference 8/2,native,,,,58934837.0,ns,313920
Symmetric Difference 8/2,native,,,,60102416.0,ns,319152
Symmetric Difference 8/2,native,,,,61986883.0,ns,324384
Symmetric Difference 8/2,native,,,,61485817.0,ns,329616
Symmetric Difference 8/2,native,,,,62518142.0,ns,334848
Symmetric Difference 8/2,native,,,,64739785.0,ns,340080
Symmetric Difference 8/2,native,,,,64165982.0,ns,345312
Symmetric Difference 8/2,native,,,,65625413.0,ns,350544
Symmetric Difference 8/2,native,,,,68058564.0,ns,355776
Symmetric Difference 8/2,native,,,,67849032.0,ns,361008
Symmetric Difference 8/2,native,,,,71594450.0,ns,366240
Symmetric Difference 8/2,native,,,,72196576.0,ns,371472
Symmetric Difference 8/2,native,,,,74457074.0,ns,376704
Symmetric Difference 8/2,native,,,,73555295.0,ns,381936
Symmetric Difference 8/2,native,,,,73673914.0,ns,387168
Symmetric Difference 8/2,native,,,,76697216.0,ns,392400
Symmetric Difference 8/2,native,,,,77723500.0,ns,397632
Symmetric Difference 8/2,native,,,,77512429.0,ns,402864
Symmetric Difference 8/2,native,,,,77978488.0,ns,408096
Symmetric Difference 8/2,native,,,,76409147.0,ns,413328
Symmetric Difference 8/2,native,,,,77209710.0,ns,418560
Symmetric Difference 8/2,native,,,,78233834.0,ns,423792
Symmetric Difference 8/2,native,,,,78961853.0,ns,429024
Symmetric Difference 8/2,native,,,,82252571.0,ns,434256
Symmetric Difference 8/2,native,,,,81398505.0,ns,439488
Symmetric Difference 8/2,native,,,,83260557.0,ns,444720
Symmetric Difference 8/2,native,,,,83135241.0,ns,449952
Symmetric Difference 8/2,native,,,,84090992.0,ns,455184
Symmetric Difference 8/2,native,,,,86836046.0,ns,460416
Symmetric Difference 8/2,native,,,,91375478.0,ns,465648
Symmetric Difference 8/2,native,,,,91082537.0,ns,470880
Symmetric Difference 8/2,native,,,,94734209.0,ns,476112
Symmetric Difference 8/2,native,,,,92847659.0,ns,481344
Symmetric Difference 8/2,native,,,,92696340.0,ns,486576
Symmetric Difference 8/2,native,,,,92829977.0,ns,491808
Symmetric Difference 8/2,native,,,,92359137.0,ns,497040
Symmetric Difference 8/2,native,,,,94629455.0,ns,502272
Symmetric Difference 8/2,native,,,,94586982.0,ns,507504
Symmetric Difference 8/2,native,,,,95670348.0,ns,512736
Symmetric Difference 8/2,native,,,,98473078.0,ns,517968
Symmetric Difference 8/2,native,,,,97302247.0,ns,523200
