group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Symmetric Difference 8/2,oso,,,,1036844.0,ns,4990
Symmetric Difference 8/2,oso,,,,1954794.0,ns,9980
Symmetric Difference 8/2,oso,,,,2958085.0,ns,14970
Symmetric Difference 8/2,oso,,,,3949884.0,ns,19960
Symmetric Difference 8/2,oso,,,,4944448.0,ns,24950
Symmetric Difference 8/2,oso,,,,6101000.0,ns,29940
Symmetric Difference 8/2,oso,,,,7226794.0,ns,34930
Symmetric Difference 8/2,oso,,,,8116483.0,ns,39920
Symmetric Difference 8/2,oso,,,,9180090.0,ns,44910
Symmetric Difference 8/2,oso,,,,9934658.0,ns,49900
Symmetric Difference 8/2,oso,,,,11224187.0,ns,54890
Symmetric Difference 8/2,oso,,,,11884127.0,ns,59880
Symmetric Difference 8/2,oso,,,,12981937.0,ns,64870
Symmetric Difference 8/2,oso,,,,14743483.0,ns,69860
Symmetric Difference 8/2,oso,,,,15120094.0,ns,74850
Symmetric Difference 8/2,oso,,,,16862766.0,ns,79840
Symmetric Difference 8/2,oso,,,,16980377.0,ns,84830
Symmetric Difference 8/2,oso,,,,17844752.0,ns,89820
Symmetric Difference 8/2,oso,,,,19148946.0,ns,94810
Symmetric Difference 8/2,oso,,,,20101101.0,ns,99800
Symmetric Difference 8/2,oso,,,,20952233.0,ns,104790
Symmetric Difference 8/2,oso,,,,21904609.0,ns,109780
Symmetric Difference 8/2,oso,,,,22891595.0,ns,114770
Symmetric Difference 8/2,oso,,,,24023789.0,ns,119760
Symmetric Difference 8/2,oso,,,,24988852.0,ns,124750
Symmetric Difference 8/2,oso,,,,26719499.0,ns,129740
Symmetric Difference 8/2,oso,,,,26925896.0,ns,134730
Symmetric Difference 8/2,oso,,,,28667338.0,ns,139720
Symmetric Difference 8/2,oso,,,,28961254.0,ns,144710
Symmetric Difference 8/2,oso,,,,30145480.0,ns,149700
Symmetric Difference 8/2,oso,,,,32775150.0,ns,154690
Symmetric Difference 8/2,oso,,,,32410236.0,ns,159680
Symmetric Difference 8/2,oso,,,,32928044.0,ns,164670
Symmetric Difference 8/2,oso,,,,34045877.0,ns,169660
Symmetric Difference 8/2,oso,,,,35031221.0,ns,174650
Symmetric Difference 8/2,oso,,,,35917243.0,ns,179640
Symmetric Difference 8/2,oso,,,,36930010.0,ns,184630
Symmetric Difference 8/2,oso,,,,38034833.0,ns,189620
Symmetric Difference 8/2,oso,,,,38940563.0,ns,194610
Symmetric Difference 8/2,oso,,,,40797466.0,ns,199600
Symmetric Difference 8/2,oso,,,,41482781.0,ns,204590
Symmetric Difference 8/2,oso,,,,42826840.0,ns,209580
Symmetric Difference 8/2,oso,,,,43697471.0,ns,214570
Symmetric Difference 8/2,oso,,,,45339925.0,ns,219560
Symmetric Difference 8/2,oso,,,,45009154.0,ns,224550
Symmetric Difference 8/2,oso,,,,45842793.0,ns,229540
Symmetric Difference 8/2,oso,,,,47341217.0,ns,234530
Symmetric Difference 8/2,oso,,,,47950589.0,ns,239520
Symmetric Difference 8/2,oso,,,,49261645.0,ns,244510
Symmetric Difference 8/2,oso,,,,49858313.0,ns,249500
Symmetric Difference 8/2,oso,,,,51578371.0,ns,254490
Symmetric Difference 8/2,oso,,,,52239985.0,ns,259480
Symmetric Difference 8/2,oso,,,,53248051.0,ns,264470
Symmetric Difference 8/2,oso,,,,54244211.0,ns,269460
Symmetric Difference 8/2,oso,,,,55119208.0,ns,274450
Symmetric Difference 8/2,oso,,,,56477648.0,ns,279440
Symmetric Difference 8/2,oso,,,,57386813.0,ns,284430
Symmetric Difference 8/2,oso,,,,58261863.0,ns,289420
Symmetric Difference 8/2,oso,,,,59192265.0,ns,294410
Symmetric Difference 8/2,oso,,,,60156029.0,ns,299400
Symmetric Difference 8/2,oso,,,,61010089.0,ns,304390
Symmetric Difference 8/2,oso,,,,61882471.0,ns,309380
Symmetric Difference 8/2,oso,,,,64035183.0,ns,314370
Symmetric Difference 8/2,oso,,,,67213570.0,ns,319360
Symmetric Difference 8/2,oso,,,,67365215.0,ns,324350
Symmetric Difference 8/2,oso,,,,67617563.0,ns,329340
Symmetric Difference 8/2,oso,,,,68296482.0,ns,334330
Symmetric Difference 8/2,oso,,,,68830911.0,ns,339320
Symmetric Difference 8/2,oso,,,,69665970.0,ns,344310
Symmetric Difference 8/2,oso,,,,69919782.0,ns,349300
Symmetric Difference 8/2,oso,,,,70972420.0,ns,354290
Symmetric Difference 8/2,oso,,,,72049199.0,ns,359280
Symmetric Difference 8/2,oso,,,,72843318.0,ns,364270
Symmetric Difference 8/2,oso,,,,74132172.0,ns,369260
Symmetric Difference 8/2,oso,,,,74771520.0,ns,374250
Symmetric Difference 8/2,oso,,,,75988194.0,ns,379240
Symmetric Difference 8/2,oso,,,,77971105.0,ns,384230
Symmetric Difference 8/2,oso,,,,78571774.0,ns,389220
Symmetric Difference 8/2,oso,,,,78864983.0,ns,394210
Symmetric Difference 8/2,oso,,,,80257443.0,ns,399200
Symmetric Difference 8/2,oso,,,,82396714.0,ns,404190
Symmetric Difference 8/2,oso,,,,82785581.0,ns,409180
Symmetric Difference 8/2,oso,,,,83269624.0,ns,414170
Symmetric Difference 8/2,oso,,,,84715540.0,ns,419160
Symmetric Difference 8/2,oso,,,,88275063.0,ns,424150
Symmetric Difference 8/2,oso,,,,86629092.0,ns,429140
Symmetric Difference 8/2,oso,,,,87083006.0,ns,434130
Symmetric Difference 8/2,oso,,,,88171068.0,ns,439120
Symmetric Difference 8/2,oso,,,,89989102.0,ns,444110
Symmetric Difference 8/2,oso,,,,90490506.0,ns,449100
Symmetric Difference 8/2,oso,,,,95147093.0,ns,454090
Symmetric Difference 8/2,oso,,,,95680293.0,ns,459080
Symmetric Difference 8/2,oso,,,,97659964.0,ns,464070
Symmetric Difference 8/2,oso,,,,98699610.0,ns,469060
Symmetric Difference 8/2,oso,,,,97603675.0,ns,474050
Symmetric Difference 8/2,oso,,,,96343127.0,ns,479040
Symmetric Difference 8/2,oso,,,,97456286.0,ns,484030
Symmetric Difference 8/2,oso,,,,98402433.0,ns,489020
Symmetric Difference 8/2,oso,,,,99993223.0,ns,494010
Symmetric Difference 8/2,oso,,,,100379130.0,ns,499000
