group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Symmetric Difference 8/2,oso,,,,1013641.0,ns,4954
Symmetric Difference 8/2,oso,,,,2045923.0,ns,9908
Symmetric Difference 8/2,oso,,,,3114230.0,ns,14862
Symmetric Difference 8/2,oso,,,,4121997.0,ns,19816
Symmetric Difference 8/2,oso,,,,4903831.0,ns,24770
Symmetric Difference 8/2,oso,,,,6253367.0,ns,29724
Symmetric Difference 8/2,oso,,,,7395531.0,ns,34678
Symmetric Difference 8/2,oso,,,,7826523.0,ns,39632
Symmetric Difference 8/2,oso,,,,9118022.0,ns,44586
Symmetric Difference 8/2,oso,,,,9912624.0,ns,49540
Symmetric Difference 8/2,oso,,,,11250699.0,ns,54494
Symmetric Difference 8/2,oso,,,,12126185.0,ns,59448
Symmetric Difference 8/2,oso,,,,13210327.0,ns,64402
Symmetric Difference 8/2,oso,,,,13810410.0,ns,69356
Symmetric Difference 8/2,oso,,,,15071429.0,ns,74310
Symmetric Difference 8/2,oso,,,,15957901.0,ns,79264
Symmetric Difference 8/2,oso,,,,17369248.0,ns,84218
Symmetric Difference 8/2,oso,,,,18147040.0,ns,89172
Symmetric Difference 8/2,oso,,,,19039452.0,ns,94126
Symmetric Difference 8/2,oso,,,,20097445.0,ns,99080
Symmetric Difference 8/2,oso,,,,21077251.0,ns,104034
Symmetric Difference 8/2,oso,,,,22244054.0,ns,108988
Symmetric Difference 8/2,oso,,,,23356040.0,ns,113942
Symmetric Difference 8/2,oso,,,,24284347.0,ns,118896
Symmetric Difference 8/2,oso,,,,25282235.0,ns,123850
Symmetric Difference 8/2,oso,,,,25878866.0,ns,128804
Symmetric Difference 8/2,oso,,,,26598218.0,ns,133758
Symmetric Difference 8/2,oso,,,,27250388.0,ns,138712
Symmetric Difference 8/2,oso,,,,29081903.0,ns,143666
Symmetric Difference 8/2,oso,,,,30437573.0,ns,148620
Symmetric Difference 8/2,oso,,,,30865076.0,ns,153574
Symmetric Difference 8/2,oso,,,,31997126.0,ns,158528
Symmetric Difference 8/2,oso,,,,33734060.0,ns,163482
Symmetric Difference 8/2,oso,,,,33769695.0,ns,168436
Symmetric Difference 8/2,oso,,,,33949001.0,ns,173390
Symmetric Difference 8/2,oso,,,,35275306.0,ns,178344
Symmetric Difference 8/2,oso,,,,36079649.0,ns,183298
Symmetric Difference 8/2,oso,,,,36639733.0,ns,188252
Symmetric Difference 8/2,oso,,,,38345667.0,ns,193206
Symmetric Difference 8/2,oso,,,,39256307.0,ns,198160
Symmetric Difference 8/2,oso,,,,40094656.0,ns,203114
Symmetric Difference 8/2,oso,,,,40626940.0,ns,208068
Symmetric Difference 8/2,oso,,,,42524853.0,ns,213022
Symmetric Difference 8/2,oso,,,,43557893.0,ns,217976
Symmetric Difference 8/2,oso,,,,43945426.0,ns,222930
Symmetric Difference 8/2,oso,,,,44373287.0,ns,227884
Symmetric Difference 8/2,oso,,,,45515735.0,ns,232838
Symmetric Difference 8/2,oso,,,,46797419.0,ns,237792
Symmetric Difference 8/2,oso,,,,47471233.0,ns,242746
Symmetric Difference 8/2,oso,,,,48434087.0,ns,247700
Symmetric Difference 8/2,oso,,,,49212337.0,ns,252654
Symmetric Difference 8/2,oso,,,,50644303.0,ns,257608
Symmetric Difference 8/2,oso,,,,51850316.0,ns,262562
Symmetric Difference 8/2,oso,,,,53471092.0,ns,267516
Symmetric Difference 8/2,oso,,,,53333181.0,ns,272470
Symmetric Difference 8/2,oso,,,,55580217.0,ns,277424
Symmetric Difference 8/2,oso,,,,55162926.0,ns,282378
Symmetric Difference 8/2,oso,,,,56292356.0,ns,287332
Symmetric Difference 8/2,oso,,,,57810466.0,ns,292286
Symmetric Difference 8/2,oso,,,,59012753.0,ns,297240
Symmetric Difference 8/2,oso,,,,59348980.0,ns,302194
Symmetric Difference 8/2,oso,,,,59860469.0,ns,307148
Symmetric Difference 8/2,oso,,,,62681221.0,ns,312102
Symmetric Difference 8/2,oso,,,,64663305.0,ns,317056
Symmetric Difference 8/2,oso,,,,62848426.0,ns,322010
Symmetric Difference 8/2,oso,,,,64185344.0,ns,326964
Symmetric Difference 8/2,oso,,,,64615602.0,ns,331918
Symmetric Difference 8/2,oso,,,,65814560.0,ns,336872
Symmetric Difference 8/2,oso,,,,67003985.0,ns,341826
Symmetric Difference 8/2,oso,,,,68373586.0,ns,346780
Symmetric Difference 8/2,oso,,,,69775861.0,ns,351734
Symmetric Difference 8/2,oso,,,,71616103.0,ns,356688
Symmetric Difference 8/2,oso,,,,70912044.0,ns,361642
Symmetric Difference 8/2,oso,,,,71291493.0,ns,366596
Symmetric Difference 8/2,oso,,,,72680092.0,ns,371550
Symmetric Difference 8/2,oso,,,,74065205.0,ns,376504
Symmetric Difference 8/2,oso,,,,75454480.0,ns,381458
Symmetric Difference 8/2,oso,,,,76066906.0,ns,386412
Symmetric Difference 8/2,oso,,,,77070751.0,ns,391366
Symmetric Difference 8/2,oso,,,,77758127.0,ns,396320
Symmetric Difference 8/2,oso,,,,78480758.0,ns,401274
Symmetric Difference 8/2,oso,,,,79343834.0,ns,406228
Symmetric Difference 8/2,oso,,,,81658106.0,ns,411182
Symmetric Difference 8/2,oso,,,,82769710.0,ns,416136
Symmetric Difference 8/2,oso,,,,84385455.0,ns,421090
Symmetric Difference 8/2,oso,,,,84354252.0,ns,426044
Symmetric Difference 8/2,oso,,,,84363520.0,ns,430998
Symmetric Difference 8/2,oso,,,,86417636.0,ns,435952
Symmetric Difference 8/2,oso,,,,89894214.0,ns,440906
Symmetric Difference 8/2,oso,,,,91888012.0,ns,445860
Symmetric Difference 8/2,oso,,,,92754173.0,ns,450814
Symmetric Difference 8/2,oso,,,,91921560.0,ns,455768
Symmetric Difference 8/2,oso,,,,90371648.0,ns,460722
Symmetric Difference 8/2,oso,,,,91380173.0,ns,465676
Symmetric Difference 8/2,oso,,,,93920350.0,ns,470630
Symmetric Difference 8/2,oso,,,,94813979.0,ns,475584
Symmetric Difference 8/2,oso,,,,94313890.0,ns,480538
Symmetric Difference 8/2,oso,,,,97003893.0,ns,485492
Symmetric Difference 8/2,oso,,,,99175736.0,ns,490446
Symmetric Difference 8/2,oso,,,,100965853.0,ns,495400
