group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Union 8/2,native,,,,1162211.0,ns,4061
Union 8/2,native,,,,1943355.0,ns,8122
Union 8/2,native,,,,3024566.0,ns,12183
Union 8/2,native,,,,3932019.0,ns,16244
Union 8/2,native,,,,5597112.0,ns,20305
Union 8/2,native,,,,6207621.0,ns,24366
Union 8/2,native,,,,7028403.0,ns,28427
Union 8/2,native,,,,8338462.0,ns,32488
Union 8/2,native,,,,8820971.0,ns,36549
Union 8/2,native,,,,9680058.0,ns,40610
Union 8/2,native,,,,11039614.0,ns,44671
Union 8/2,native,,,,11742643.0,ns,48732
Union 8/2,native,,,,12785170.0,ns,52793
Union 8/2,native,,,,13904578.0,ns,56854
Union 8/2,native,,,,15140857.0,ns,60915
Union 8/2,native,,,,15525242.0,ns,64976
Union 8/2,native,,,,16610929.0,ns,69037
Union 8/2,native,,,,17582517.0,ns,73098
Union 8/2,native,,,,18318836.0,ns,77159
Union 8/2,native,,,,19689360.0,ns,81220
Union 8/2,native,,,,20313238.0,ns,85281
Union 8/2,native,,,,21377832.0,ns,89342
Union 8/2,native,,,,22848969.0,ns,93403
Union 8/2,native,,,,24901615.0,ns,97464
Union 8/2,native,,,,25851440.0,ns,101525
Union 8/2,native,,,,26040310.0,ns,105586
Union 8/2,native,,,,27175962.0,ns,109647
Union 8/2,native,,,,28098822.0,ns,113708
Union 8/2,native,,,,29401906.0,ns,117769
Union 8/2,native,,,,30615081.0,ns,121830
Union 8/2,native,,,,31352365.0,ns,125891
Union 8/2,native,,,,32785815.0,ns,129952
Union 8/2,native,,,,34133497.0,ns,134013
Union 8/2,native,,,,34816821.0,ns,138074
Union 8/2,native,,,,35083103.0,ns,142135
Union 8/2,native,,,,37485442.0,ns,146196
Union 8/2,native,,,,37047419.0,ns,150257
Union 8/2,native,,,,39152197.0,ns,154318
Union 8/2,native,,,,39152349.0,ns,158379
Union 8/2,native,,,,39905938.0,ns,162440
Union 8/2,native,,,,39821775.0,ns,166501
Union 8/2,native,,,,40991100.0,ns,170562
Union 8/2,native,,,,41858608.0,ns,174623
Union 8/2,native,,,,42737641.0,ns,178684
Union 8/2,native,,,,46213119.0,ns,182745
Union 8/2,native,,,,45135139.0,ns,186806
Union 8/2,native,,,,46392337.0,ns,190867
Union 8/2,native,,,,46717355.0,ns,194928
Union 8/2,native,,,,49304849.0,ns,198989
Union 8/2,native,,,,48560364.0,ns,203050
Union 8/2,native,,,,49793809.0,ns,207111
Union 8/2,native,,,,50666940.0,ns,211172
Union 8/2,native,,,,51576826.0,ns,215233
Union 8/2,native,,,,53215348.0,ns,219294
Union 8/2,native,,,,55082407.0,ns,223355
Union 8/2,native,,,,54903274.0,ns,227416
Union 8/2,native,,,,55846587.0,ns,231477
Union 8/2,native,,,,56621304.0,ns,235538
Union 8/2,native,,,,57070788.0,ns,239599
Union 8/2,native,,,,58733351.0,ns,243660
Union 8/2,native,,,,59238769.0,ns,247721
Union 8/2,native,,,,60429307.0,ns,251782
Union 8/2,native,,,,62085725.0,ns,255843
Union 8/2,native,,,,64716036.0,ns,259904
Union 8/2,native,,,,64066999.0,ns,263965
Union 8/2,native,,,,64292950.0,ns,268026
Union 8/2,native,,,,65858702.0,ns,272087
Union 8/2,native,,,,68412892.0,ns,276148
Union 8/2,native,,,,69751245.0,ns,280209
Union 8/2,native,,,,70722997.0,ns,284270
Union 8/2,native,,,,72446905.0,ns,288331
Union 8/2,native,,,,70701939.0,ns,292392
Union 8/2,native,,,,71831385.0,ns,296453
Union 8/2,native,,,,75274960.0,ns,300514
Union 8/2,native,,,,74925946.0,ns,304575
Union 8/2,native,,,,74087727.0,ns,308636
Union 8/2,native,,,,75190213.0,ns,312697
Union 8/2,native,,,,78495766.0,ns,316758
Union 8/2,native,,,,77732732.0,ns,320819
Union 8/2,native,,,,78839709.0,ns,324880
Union 8/2,native,,,,78685756.0,ns,328941
Union 8/2,native,,,,79804694.0,ns,333002
Union 8/2,native,,,,80756462.0,ns,337063
Union 8/2,native,,,,82803495.0,ns,341124
Union 8/2,native,,,,83365504.0,ns,345185
Union 8/2,native,,,,83746038.0,ns,349246
Union 8/2,native,,,,84361896.0,ns,353307
Union 8/2,native,,,,89390611.0,ns,357368
Union 8/2,native,,,,91696155.0,ns,361429
Union 8/2,native,,,,89693925.0,ns,365490
Union 8/2,native,,,,89515144.0,ns,369551
Union 8/2,native,,,,89915632.0,ns,373612
Union 8/2,native,,,,90351455.0,ns,377673
Union 8/2,native,,,,91238410.0,ns,381734
Union 8/2,native,,,,92766861.0,ns,385795
Union 8/2,native,,,,95546152.0,ns,389856
Union 8/2,native,,,,94599217.0,ns,393917
Union 8/2,native,,,,95663479.0,ns,397978
Union 8/2,native,,,,96269519.0,ns,402039
Union 8/2,native,,,,97645417.0,ns,406100
