group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Union 8/2,native,,,,1060655.0,ns,4114
Union 8/2,native,,,,1895029.0,ns,8228
Union 8/2,native,,,,3128590.0,ns,12342
Union 8/2,native,,,,3984470.0,ns,16456
Union 8/2,native,,,,4923370.0,ns,20570
Union 8/2,native,,,,5768401.0,ns,24684
Union 8/2,native,,,,7295615.0,ns,28798
Union 8/2,native,,,,7714144.0,ns,32912
Union 8/2,native,,,,8921628.0,ns,37026
Union 8/2,native,,,,9708923.0,ns,41140
Union 8/2,native,,,,10778865.0,ns,45254
Union 8/2,native,,,,11553271.0,ns,49368
Union 8/2,native,,,,12546996.0,ns,53482
Union 8/2,native,,,,13609495.0,ns,57596
Union 8/2,native,,,,14577336.0,ns,61710
Union 8/2,native,,,,15979495.0,ns,65824
Union 8/2,native,,,,17931651.0,ns,69938
Union 8/2,native,,,,18237658.0,ns,74052
Union 8/2,native,,,,19280661.0,ns,78166
Union 8/2,native,,,,20204249.0,ns,82280
Union 8/2,native,,,,21131638.0,ns,86394
Union 8/2,native,,,,21857602.0,ns,90508
Union 8/2,native,,,,22469645.0,ns,94622
Union 8/2,native,,,,23410511.0,ns,98736
Union 8/2,native,,,,24449660.0,ns,102850
Union 8/2,native,,,,25287932.0,ns,106964
Union 8/2,native,,,,26112600.0,ns,111078
Union 8/2,native,,,,27894280.0,ns,115192
Union 8/2,native,,,,28339600.0,ns,119306
Union 8/2,native,,,,29067020.0,ns,123420
Union 8/2,native,,,,30030413.0,ns,127534
Union 8/2,native,,,,32041128.0,ns,131648
Union 8/2,native,,,,33267808.0,ns,135762
Union 8/2,native,,,,33045065.0,ns,139876
Union 8/2,native,,,,34046790.0,ns,143990
Union 8/2,native,,,,35202493.0,ns,148104
Union 8/2,native,,,,35895826.0,ns,152218
Union 8/2,native,,,,37378731.0,ns,156332
Union 8/2,native,,,,37833396.0,ns,160446
Union 8/2,native,,,,39018396.0,ns,164560
Union 8/2,native,,,,40827127.0,ns,168674
Union 8/2,native,,,,40778718.0,ns,172788
Union 8/2,native,,,,42047987.0,ns,176902
Union 8/2,native,,,,43013791.0,ns,181016
Union 8/2,native,,,,43867833.0,ns,185130
Union 8/2,native,,,,44809572.0,ns,189244
Union 8/2,native,,,,45924576.0,ns,193358
Union 8/2,native,,,,47411976.0,ns,197472
Union 8/2,native,,,,47245742.0,ns,201586
Union 8/2,native,,,,49008111.0,ns,205700
Union 8/2,native,,,,49529697.0,ns,209814
Union 8/2,native,,,,50784605.0,ns,213928
Union 8/2,native,,,,51963587.0,ns,218042
Union 8/2,native,,,,53222374.0,ns,222156
Union 8/2,native,,,,53203729.0,ns,226270
Union 8/2,native,,,,60532275.0,ns,230384
Union 8/2,native,,,,55555107.0,ns,234498
Union 8/2,native,,,,56806415.0,ns,238612
Union 8/2,native,,,,59015121.0,ns,242726
Union 8/2,native,,,,58526602.0,ns,246840
Union 8/2,native,,,,59504144.0,ns,250954
Union 8/2,native,,,,60131310.0,ns,255068
Union 8/2,native,,,,61501478.0,ns,259182
Union 8/2,native,,,,62574298.0,ns,263296
Union 8/2,native,,,,63368576.0,ns,267410
Union 8/2,native,,,,64224621.0,ns,271524
Union 8/2,native,,,,65591995.0,ns,275638
Union 8/2,native,,,,65954512.0,ns,279752
Union 8/2,native,,,,67273245.0,ns,283866
Union 8/2,native,,,,68811105.0,ns,287980
Union 8/2,native,,,,70200356.0,ns,292094
Union 8/2,native,,,,73424122.0,ns,296208
Union 8/2,native,,,,73340852.0,ns,300322
Union 8/2,native,,,,74056873.0,ns,304436
Union 8/2,native,,,,75298459.0,ns,308550
Union 8/2,native,,,,75946599.0,ns,312664
Union 8/2,native,,,,76137623.0,ns,316778
Union 8/2,native,,,,79614168.0,ns,320892
Union 8/2,native,,,,86834664.0,ns,325006
Union 8/2,native,,,,80295669.0,ns,329120
Union 8/2,native,,,,81413867.0,ns,333234
Union 8/2,native,,,,82338712.0,ns,337348
Union 8/2,native,,,,82152728.0,ns,341462
Union 8/2,native,,,,82266316.0,ns,345576
Union 8/2,native,,,,83226977.0,ns,349690
Union 8/2,native,,,,83735969.0,ns,353804
Union 8/2,native,,,,85144214.0,ns,357918
Union 8/2,native,,,,85894409.0,ns,362032
Union 8/2,native,,,,86242765.0,ns,366146
Union 8/2,native,,,,87941688.0,ns,370260
Union 8/2,native,,,,89193215.0,ns,374374
Union 8/2,native,,,,89187759.0,ns,378488
Union 8/2,native,,,,90554197.0,ns,382602
Union 8/2,native,,,,92013088.0,ns,386716
Union 8/2,native,,,,92666190.0,ns,390830
Union 8/2,native,,,,95281472.0,ns,394944
Union 8/2,native,,,,94336845.0,ns,399058
Union 8/2,native,,,,95118827.0,ns,403172
Union 8/2,native,,,,99585079.0,ns,407286
Union 8/2,native,,,,98912321.0,ns,411400
