group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Union 8/2,oso,,,,974289.0,ns,3970
Union 8/2,oso,,,,1942026.0,ns,7940
Union 8/2,oso,,,,2921740.0,ns,11910
Union 8/2,oso,,,,3920465.0,ns,15880
Union 8/2,oso,,,,5186975.0,ns,19850
Union 8/2,oso,,,,5667491.0,ns,23820
Union 8/2,oso,,,,6718132.0,ns,27790
Union 8/2,oso,,,,7806479.0,ns,31760
Union 8/2,oso,,,,8761037.0,ns,35730
Union 8/2,oso,,,,9562614.0,ns,39700
Union 8/2,oso,,,,10604532.0,ns,43670
Union 8/2,oso,,,,11568797.0,ns,47640
Union 8/2,oso,,,,12460924.0,ns,51610
Union 8/2,oso,,,,13427068.0,ns,55580
Union 8/2,oso,,,,15373796.0,ns,59550
Union 8/2,oso,,,,15571170.0,ns,63520
Union 8/2,oso,,,,16362227.0,ns,67490
Union 8/2,oso,,,,17362444.0,ns,71460
Union 8/2,oso,,,,18410136.0,ns,75430
Union 8/2,oso,,,,19274893.0,ns,79400
Union 8/2,oso,,,,20338307.0,ns,83370
Union 8/2,oso,,,,21211955.0,ns,87340
Union 8/2,oso,,,,23021018.0,ns,91310
Union 8/2,oso,,,,23324969.0,ns,95280
Union 8/2,oso,,,,24374467.0,ns,99250
Union 8/2,oso,,,,24926133.0,ns,103220
Union 8/2,oso,,,,26112913.0,ns,107190
Union 8/2,oso,,,,27439962.0,ns,111160
Union 8/2,oso,,,,28142291.0,ns,115130
Union 8/2,oso,,,,29379603.0,ns,119100
Union 8/2,oso,,,,30013559.0,ns,123070
Union 8/2,oso,,,,31271759.0,ns,127040
Union 8/2,oso,,,,31783210.0,ns,131010
Union 8/2,oso,,,,32822127.0,ns,134980
Union 8/2,oso,,,,34192246.0,ns,138950
Union 8/2,oso,,,,34782300.0,ns,142920
Union 8/2,oso,,,,35792207.0,ns,146890
Union 8/2,oso,,,,37401885.0,ns,150860
Union 8/2,oso,,,,37541086.0,ns,154830
Union 8/2,oso,,,,38728947.0,ns,158800
Union 8/2,oso,,,,40196634.0,ns,162770
Union 8/2,oso,,,,40357673.0,ns,166740
Union 8/2,oso,,,,41947732.0,ns,170710
Union 8/2,oso,,,,43370010.0,ns,174680
Union 8/2,oso,,,,43444091.0,ns,178650
Union 8/2,oso,,,,46299899.0,ns,182620
Union 8/2,oso,,,,46397560.0,ns,186590
Union 8/2,oso,,,,46498931.0,ns,190560
Union 8/2,oso,,,,47341710.0,ns,194530
Union 8/2,oso,,,,48459528.0,ns,198500
Union 8/2,oso,,,,49999309.0,ns,202470
Union 8/2,oso,,,,50558825.0,ns,206440
Union 8/2,oso,,,,50956150.0,ns,210410
Union 8/2,oso,,,,53388281.0,ns,214380
Union 8/2,oso,,,,53756404.0,ns,218350
Union 8/2,oso,,,,54536796.0,ns,222320
Union 8/2,oso,,,,54900682.0,ns,226290
Union 8/2,oso,,,,56454139.0,ns,230260
Union 8/2,oso,,,,57121270.0,ns,234230
Union 8/2,oso,,,,57816265.0,ns,238200
Union 8/2,oso,,,,59279200.0,ns,242170
Union 8/2,oso,,,,59828454.0,ns,246140
Union 8/2,oso,,,,62406026.0,ns,250110
Union 8/2,oso,,,,62396337.0,ns,254080
Union 8/2,oso,,,,62733754.0,ns,258050
Union 8/2,oso,,,,63833832.0,ns,262020
Union 8/2,oso,,,,64704490.0,ns,265990
Union 8/2,oso,,,,66034261.0,ns,269960
Union 8/2,oso,,,,66863606.0,ns,273930
Union 8/2,oso,,,,68087335.0,ns,277900
Union 8/2,oso,,,,69241394.0,ns,281870
Union 8/2,oso,,,,69793023.0,ns,285840
Union 8/2,oso,,,,72273638.0,ns,289810
Union 8/2,oso,,,,72687863.0,ns,293780
Union 8/2,oso,,,,73619501.0,ns,297750
Union 8/2,oso,,,,75640711.0,ns,301720
Union 8/2,oso,,,,78005109.0,ns,305690
Union 8/2,oso,,,,78358320.0,ns,309660
Union 8/2,oso,,,,78764106.0,ns,313630
Union 8/2,oso,,,,81443613.0,ns,317600
Union 8/2,oso,,,,79660704.0,ns,321570
Union 8/2,oso,,,,80228525.0,ns,325540
Union 8/2,oso,,,,80490254.0,ns,329510
Union 8/2,oso,,,,81618568.0,ns,333480
Union 8/2,oso,,,,82511129.0,ns,337450
Union 8/2,oso,,,,83621468.0,ns,341420
Union 8/2,oso,,,,86511308.0,ns,345390
Union 8/2,oso,,,,86121872.0,ns,349360
Union 8/2,oso,,,,87342843.0,ns,353330
Union 8/2,oso,,,,89683126.0,ns,357300
Union 8/2,oso,,,,89348221.0,ns,361270
Union 8/2,oso,,,,88984727.0,ns,365240
Union 8/2,oso,,,,93732844.0,ns,369210
Union 8/2,oso,,,,92597695.0,ns,373180
Union 8/2,oso,,,,94071758.0,ns,377150
Union 8/2,oso,,,,93330100.0,ns,381120
Union 8/2,oso,,,,93863780.0,ns,385090
Union 8/2,oso,,,,95021174.0,ns,389060
Union 8/2,oso,,,,95736922.0,ns,393030
Union 8/2,oso,,,,96847955.0,ns,397000
