group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Union 8/2,oso,,,,979509.0,ns,3896
Union 8/2,oso,,,,1883426.0,ns,7792
Union 8/2,oso,,,,2940003.0,ns,11688
Union 8/2,oso,,,,3913242.0,ns,15584
Union 8/2,oso,,,,5161646.0,ns,19480
Union 8/2,oso,,,,5814883.0,ns,23376
Union 8/2,oso,,,,6876523.0,ns,27272
Union 8/2,oso,,,,8011828.0,ns,31168
Union 8/2,oso,,,,8987655.0,ns,35064
Union 8/2,oso,,,,9716860.0,ns,38960
Union 8/2,oso,,,,10651658.0,ns,42856
Union 8/2,oso,,,,11492104.0,ns,46752
Union 8/2,oso,,,,12544695.0,ns,50648
Union 8/2,oso,,,,14029885.0,ns,54544
Union 8/2,oso,,,,14822785.0,ns,58440
Union 8/2,oso,,,,15542972.0,ns,62336
Union 8/2,oso,,,,16606343.0,ns,66232
Union 8/2,oso,,,,19677618.0,ns,70128
Union 8/2,oso,,,,24380866.0,ns,74024
Union 8/2,oso,,,,20077184.0,ns,77920
Union 8/2,oso,,,,20694075.0,ns,81816
Union 8/2,oso,,,,22503562.0,ns,85712
Union 8/2,oso,,,,22657224.0,ns,89608
Union 8/2,oso,,,,25123428.0,ns,93504
Union 8/2,oso,,,,24814661.0,ns,97400
Union 8/2,oso,,,,26400994.0,ns,101296
Union 8/2,oso,,,,26901555.0,ns,105192
Union 8/2,oso,,,,28338028.0,ns,109088
Union 8/2,oso,,,,29159028.0,ns,112984
Union 8/2,oso,,,,29905389.0,ns,116880
Union 8/2,oso,,,,30815282.0,ns,120776
Union 8/2,oso,,,,32191991.0,ns,124672
Union 8/2,oso,,,,34537237.0,ns,128568
Union 8/2,oso,,,,34198144.0,ns,132464
Union 8/2,oso,,,,34984930.0,ns,136360
Union 8/2,oso,,,,36048270.0,ns,140256
Union 8/2,oso,,,,36019790.0,ns,144152
Union 8/2,oso,,,,37302955.0,ns,148048
Union 8/2,oso,,,,38616342.0,ns,151944
Union 8/2,oso,,,,40271540.0,ns,155840
Union 8/2,oso,,,,40467505.0,ns,159736
Union 8/2,oso,,,,41168026.0,ns,163632
Union 8/2,oso,,,,41906877.0,ns,167528
Union 8/2,oso,,,,43389056.0,ns,171424
Union 8/2,oso,,,,44239203.0,ns,175320
Union 8/2,oso,,,,45540257.0,ns,179216
Union 8/2,oso,,,,48123344.0,ns,183112
Union 8/2,oso,,,,48664696.0,ns,187008
Union 8/2,oso,,,,49524556.0,ns,190904
Union 8/2,oso,,,,50197150.0,ns,194800
Union 8/2,oso,,,,51210551.0,ns,198696
Union 8/2,oso,,,,50645053.0,ns,202592
Union 8/2,oso,,,,51906716.0,ns,206488
Union 8/2,oso,,,,52440793.0,ns,210384
Union 8/2,oso,,,,54123170.0,ns,214280
Union 8/2,oso,,,,55102004.0,ns,218176
Union 8/2,oso,,,,56026242.0,ns,222072
Union 8/2,oso,,,,56994740.0,ns,225968
Union 8/2,oso,,,,58058386.0,ns,229864
Union 8/2,oso,,,,60213552.0,ns,233760
Union 8/2,oso,,,,60553917.0,ns,237656
Union 8/2,oso,,,,60941903.0,ns,241552
Union 8/2,oso,,,,62009220.0,ns,245448
Union 8/2,oso,,,,63058060.0,ns,249344
Union 8/2,oso,,,,62918061.0,ns,253240
Union 8/2,oso,,,,64619974.0,ns,257136
Union 8/2,oso,,,,65333431.0,ns,261032
Union 8/2,oso,,,,66987664.0,ns,264928
Union 8/2,oso,,,,66993933.0,ns,268824
Union 8/2,oso,,,,69153402.0,ns,272720
Union 8/2,oso,,,,69117107.0,ns,276616
Union 8/2,oso,,,,70068448.0,ns,280512
Union 8/2,oso,,,,71646082.0,ns,284408
Union 8/2,oso,,,,74709433.0,ns,288304
Union 8/2,oso,,,,75986934.0,ns,292200
Union 8/2,oso,,,,76677585.0,ns,296096
Union 8/2,oso,,,,77769251.0,ns,299992
Union 8/2,oso,,,,78463154.0,ns,303888
Union 8/2,oso,,,,78161066.0,ns,307784
Union 8/2,oso,,,,78406362.0,ns,311680
Union 8/2,oso,,,,78633752.0,ns,315576
Union 8/2,oso,,,,80257647.0,ns,319472
Union 8/2,oso,,,,81188688.0,ns,323368
Union 8/2,oso,,,,83086359.0,ns,327264
Union 8/2,oso,,,,82748541.0,ns,331160
Union 8/2,oso,,,,83702703.0,ns,335056
Union 8/2,oso,,,,84731183.0,ns,338952
Union 8/2,oso,,,,88818676.0,ns,342848
Union 8/2,oso,,,,89785691.0,ns,346744
Union 8/2,oso,,,,90894688.0,ns,350640
Union 8/2,oso,,,,90651791.0,ns,354536
Union 8/2,oso,,,,89855121.0,ns,358432
Union 8/2,oso,,,,96268460.0,ns,362328
Union 8/2,oso,,,,95064586.0,ns,366224
Union 8/2,oso,,,,95269438.0,ns,370120
Union 8/2,oso,,,,98566882.0,ns,374016
Union 8/2,oso,,,,97929977.0,ns,377912
Union 8/2,oso,,,,98333961.0,ns,381808
Union 8/2,oso,,,,99538487.0,ns,385704
Union 8/2,oso,,,,101207631.0,ns,389600
